forecast_date,date,forecast
2024-04-01,2024-05-01,8795.17220129676
2024-04-01,2024-06-01,7925.355884818556
2024-04-01,2024-07-01,7525.645748999532
2024-04-01,2024-08-01,7341.965367694032
2024-04-01,2024-09-01,7257.557994817678
2024-04-01,2024-10-01,7218.769940561421
2024-04-01,2024-11-01,7200.945512413536
2024-04-01,2024-12-01,7192.754582373577
2024-04-01,2025-01-01,7188.990571861551
2024-04-01,2025-02-01,7187.260881207922
2024-05-01,2024-06-01,7925.355884818556
2024-05-01,2024-07-01,7525.645748999532
2024-05-01,2024-08-01,7341.965367694032
2024-05-01,2024-09-01,7257.557994817678
2024-05-01,2024-10-01,7218.769940561421
2024-05-01,2024-11-01,7200.945512413536
2024-05-01,2024-12-01,7192.754582373577
2024-05-01,2025-01-01,7188.990571861551
2024-06-01,2024-07-01,7525.645748999532
2024-06-01,2024-08-01,7341.965367694032
2024-06-01,2024-09-01,7257.557994817678
2024-06-01,2024-10-01,7218.769940561421
2024-06-01,2024-11-01,7200.945512413536
2024-06-01,2024-12-01,7192.754582373577
2024-07-01,2024-08-01,7341.965367694032
2024-07-01,2024-09-01,7257.557994817678
2024-07-01,2024-10-01,7218.769940561421
2024-07-01,2024-11-01,7200.945512413536
2024-08-01,2024-09-01,7257.557994817678
2024-08-01,2024-10-01,7218.769940561421
