date,forecast
2025-04-28,20137.520067821413
2025-05-05,21316.693544973776
2025-05-12,22749.908918375484
2025-05-19,21473.14751133441
2025-05-26,21661.359764152796
2025-06-02,22756.174702078017
2025-06-09,22224.63801601523
2025-06-16,21480.433643426455
2025-06-23,21774.790024292593
2025-06-30,22465.60650631897
2025-07-07,23504.48603779359
2025-07-14,21338.70495997184
2025-07-21,20893.857540876532
2025-07-28,22073.031018028894
2025-08-04,23506.246391430603
2025-08-11,22229.484984389528
2025-08-18,22417.697237207914
2025-08-25,23512.512175133135
2025-09-01,22980.975489070348
2025-09-08,22236.771116481574
2025-09-15,22531.127497347712
2025-09-22,23221.94397937409
2025-09-29,24260.82351084871
2025-10-06,22095.04243302696
2025-10-13,21650.195013931647
2025-10-20,22829.36849108401
2025-10-27,24262.583864485718
2025-11-03,22985.822457444643
2025-11-10,23174.03471026303
2025-11-17,24268.84964818825
2025-11-24,23737.312962125463
2025-12-01,22993.10858953669
2025-12-08,23287.464970402827
2025-12-15,23978.281452429208
2025-12-22,25017.16098390383
2025-12-29,22851.37990608208
2026-01-05,22406.532486986765
2026-01-12,23585.705964139128
2026-01-19,25018.921337540836
2026-01-26,23742.15993049976
2026-02-02,23930.372183318148
2026-02-09,25025.18712124337
2026-02-16,24493.65043518058
2026-02-23,23749.446062591807
2026-03-02,24043.802443457946
2026-03-09,24734.618925484323
2026-03-16,25773.498456958943
2026-03-23,23607.717379137193
2026-03-30,23162.86996004188
2026-04-06,24342.043437194243
2026-04-13,25775.25881059595
