date,forecast
2025-04-28,11564.466
2025-05-05,12733.929
2025-05-12,12306.805
2025-05-19,9523.741
2025-05-26,9056.39
2025-06-02,9142.362
2025-06-09,7604.591
2025-06-16,7046.913
2025-06-23,7171.37
2025-06-30,7826.444
2025-07-07,8001.9697
2025-07-14,7826.1113
2025-07-21,7629.4507
2025-07-28,7758.3984
2025-08-04,7798.9834
2025-08-11,7654.4546
2025-08-18,7511.0244
2025-08-25,7701.8164
2025-09-01,7542.587
2025-09-08,7532.5015
2025-09-15,7541.982
2025-09-22,7589.4263
2025-09-29,7627.4062
2025-10-06,7587.014
2025-10-13,7548.3774
2025-10-20,7563.272
2025-10-27,7563.222
2025-11-03,7544.8213
2025-11-10,7540.426
2025-11-17,7545.5728
2025-11-24,7548.9624
2025-12-01,7607.1074
2025-12-08,7609.3853
2025-12-15,7598.3057
2025-12-22,7610.0537
2025-12-29,7606.0557
2026-01-05,7851.5244
2026-01-12,7851.5674
2026-01-19,7764.546
2026-01-26,7782.6494
2026-02-02,7882.5522
2026-02-09,7836.5654
2026-02-16,7853.3013
2026-02-23,7908.048
2026-03-02,7907.5386
2026-03-09,7824.685
2026-03-16,7761.5386
2026-03-23,7915.4463
2026-03-30,8058.696
2026-04-06,7870.071
2026-04-13,7744.5625
