forecast_date,date,forecast
2024-04-01,2024-05-01,2366.7679512861673
2024-04-01,2024-06-01,2539.2879512861678
2024-04-01,2024-07-01,2476.2039756430836
2024-04-01,2024-08-01,2437.1989756430835
2024-04-01,2024-09-01,2633.883975643084
2024-04-01,2024-10-01,2533.5939756430835
2024-04-01,2024-11-01,2217.405
2024-04-01,2024-12-01,2637.555
2024-04-01,2025-01-01,2494.18
2024-04-01,2025-02-01,2283.515
2024-04-01,2025-03-01,2728.38
2024-05-01,2024-06-01,2382.983975643084
2024-05-01,2024-07-01,2647.0239756430838
2024-05-01,2024-08-01,2497.0589756430836
2024-05-01,2024-09-01,2492.1989756430835
2024-05-01,2024-10-01,2674.613975643084
2024-05-01,2024-11-01,2533.5939756430835
2024-05-01,2024-12-01,2486.56
2024-05-01,2025-01-01,2288.48
2024-05-01,2025-02-01,2538.095
2024-05-01,2025-03-01,2616.775
2024-06-01,2024-07-01,2490.8139756430837
2024-06-01,2024-08-01,2628.173975643084
2024-06-01,2024-09-01,2522.423975643084
2024-06-01,2024-10-01,2527.1189756430836
2024-06-01,2024-11-01,2674.613975643084
2024-06-01,2024-12-01,2810.165
2024-06-01,2025-01-01,2240.91
2024-06-01,2025-02-01,2421.637
2024-06-01,2025-03-01,2793.09
2024-07-01,2024-08-01,2499.0439756430837
2024-07-01,2024-09-01,2690.318975643084
2024-07-01,2024-10-01,2566.4739756430836
2024-07-01,2024-11-01,2527.1189756430836
2024-07-01,2024-12-01,2925.7
2024-07-01,2025-01-01,2483.22
2024-07-01,2025-02-01,2383.57
2024-07-01,2025-03-01,2644.4770000000003
2024-08-01,2024-09-01,2561.1889756430837
2024-08-01,2024-10-01,2734.3689756430836
2024-08-01,2024-11-01,2566.4739756430836
2024-08-01,2024-12-01,2782.105
2024-08-01,2025-01-01,2638.25
2024-08-01,2025-02-01,2532.33
2024-08-01,2025-03-01,2524.38
2024-09-01,2024-10-01,2605.238975643084
2024-09-01,2024-11-01,2734.3689756430836
2024-09-01,2024-12-01,2790.475
2024-09-01,2025-01-01,2504.98
2024-09-01,2025-02-01,2692.63
2024-09-01,2025-03-01,2738.485
2024-10-01,2024-11-01,2605.238975643084
2024-10-01,2024-12-01,2990.16
2024-10-01,2025-01-01,2624.5
2024-10-01,2025-02-01,2576.38
2024-10-01,2025-03-01,2909.335
2024-11-01,2024-12-01,2907.44
2024-11-01,2025-01-01,2744.425
2024-11-01,2025-02-01,2769.78
2024-11-01,2025-03-01,2739.525
2024-12-01,2025-01-01,2620.2439756430836
2024-12-01,2025-02-01,2849.66
2024-12-01,2025-03-01,2954.1
2025-01-01,2025-02-01,2725.4789756430837
2025-01-01,2025-03-01,3075.55
2025-02-01,2025-03-01,2911.798975643084
