rmse,mae,mape,nrmse,r2,forecast_date,n_periods
7850.822768929372,5521.581666245037,35.875834210742106,61.50841900985961,-0.3296465606458867,2024-04-01,11
7310.221825939928,4934.940212481766,34.689259267492545,61.107949860734344,-0.21640266481191062,2024-05-01,10
7572.770487293837,5025.645411792129,32.61489576164314,60.40497596884209,-0.25980512597121086,2024-06-01,9
7958.679598260226,5418.668608072234,32.592833798638324,59.49914192832547,-0.41170146122874796,2024-07-01,8
8345.302964306893,6034.425859401148,37.028710436860266,58.96014367338008,-0.49980219164946216,2024-08-01,7
8761.923751542856,6492.794200523395,37.8512767600163,59.09703737635416,-0.5049691068073221,2024-09-01,6
9498.141211998383,7153.472727036662,38.96845120209435,58.57409662299503,-0.8176026437186925,2024-10-01,5
10502.609135247336,8106.640791425883,36.878627116341555,55.96914007592505,-2.733430593976363,2024-11-01,4
5612.13051815101,4933.2787103093815,28.99535252740791,35.047339774876725,-2.461279161429305,2024-12-01,3
6621.666291577859,6157.634251129841,34.06492681119446,38.11908520855368,-4.401939073905899,2025-01-01,2
9373.646013281697,9373.646013281697,46.35828888863352,46.35828888863352,,2025-02-01,1
