forecast_date,date,forecast
2024-04-01,2024-05-01,10898.233893367462
2024-04-01,2024-06-01,9794.387127516507
2024-04-01,2024-07-01,7221.651067164936
2024-04-01,2024-08-01,7136.036727692524
2024-04-01,2024-09-01,9330.410043841735
2024-04-01,2024-10-01,6724.601350420073
2024-04-01,2024-11-01,6438.105657249579
2024-04-01,2024-12-01,18061.90518024587
2024-04-01,2025-01-01,8060.82643467563
2024-04-01,2025-02-01,14145.243194000403
2024-05-01,2024-06-01,9794.387127516507
2024-05-01,2024-07-01,7221.651067164936
2024-05-01,2024-08-01,7136.036727692524
2024-05-01,2024-09-01,9330.410043841735
2024-05-01,2024-10-01,6724.601350420073
2024-05-01,2024-11-01,6438.105657249579
2024-05-01,2024-12-01,18061.90518024587
2024-05-01,2025-01-01,8060.82643467563
2024-06-01,2024-07-01,7221.651067164936
2024-06-01,2024-08-01,7136.036727692524
2024-06-01,2024-09-01,9330.410043841735
2024-06-01,2024-10-01,6724.601350420073
2024-06-01,2024-11-01,6438.105657249579
2024-06-01,2024-12-01,18061.90518024587
2024-07-01,2024-08-01,7136.036727692524
2024-07-01,2024-09-01,9330.410043841735
2024-07-01,2024-10-01,6724.601350420073
2024-07-01,2024-11-01,6438.105657249579
2024-08-01,2024-09-01,9330.410043841735
2024-08-01,2024-10-01,6724.601350420073
