forecast_date,date,forecast
2024-04-01,2024-05-01,2353.1786313701764
2024-04-01,2024-06-01,3146.9572497856666
2024-04-01,2024-07-01,4854.013153426992
2024-04-01,2024-08-01,4607.356763373882
2024-04-01,2024-09-01,7258.731500164054
2024-04-01,2024-10-01,6119.62150574467
2024-04-01,2024-11-01,6199.26395990801
2024-04-01,2024-12-01,18158.821466306363
2024-04-01,2025-01-01,10346.148750134225
2024-04-01,2025-02-01,15429.296182540718
2024-05-01,2024-06-01,3146.9572497856666
2024-05-01,2024-07-01,4854.013153426992
2024-05-01,2024-08-01,4607.356763373882
2024-05-01,2024-09-01,7258.731500164054
2024-05-01,2024-10-01,6119.62150574467
2024-05-01,2024-11-01,6199.26395990801
2024-05-01,2024-12-01,18158.821466306363
2024-05-01,2025-01-01,10346.148750134225
2024-06-01,2024-07-01,4854.013153426992
2024-06-01,2024-08-01,4607.356763373882
2024-06-01,2024-09-01,7258.731500164054
2024-06-01,2024-10-01,6119.62150574467
2024-06-01,2024-11-01,6199.26395990801
2024-06-01,2024-12-01,18158.821466306363
2024-07-01,2024-08-01,4607.356763373882
2024-07-01,2024-09-01,7258.731500164054
2024-07-01,2024-10-01,6119.62150574467
2024-07-01,2024-11-01,6199.26395990801
2024-08-01,2024-09-01,7258.731500164054
2024-08-01,2024-10-01,6119.62150574467
