rmse,mae,mape,nrmse,r2,forecast_date,n_periods
35587.28871508618,30333.727272727258,110.8112967444691,91.47120662350406,-1.4132630278381932,2024-04-01,11
37809.931963374256,30930.450000000106,110.02413115048478,100.79127548342915,-1.571469005229742,2024-05-01,10
20604.165416919463,16244.166666666595,60.82577947076197,52.16655285149749,0.26597413482947807,2024-06-01,9
32684.445179912957,27468.93749999989,72.8388283956796,76.50316031157212,-0.9179546029393855,2024-07-01,8
38513.4601229601,31327.5714285714,88.21446029324554,84.50514246779134,-1.5955605811592983,2024-08-01,7
12880.100882756937,11110.833333333123,35.69845723139551,26.750968467661153,0.7325871047104003,2024-09-01,6
33007.620827620696,30074.799999999756,60.33182434364963,62.26772112693777,-0.8077775746362852,2024-10-01,5
40119.52267989334,34186.62499999991,49.22162495488681,65.00773341957927,-3.2992025626407635,2024-11-01,4
10562.469443742457,10553.833333333007,20.28991513927825,17.824245167388003,0.7651534864517489,2024-12-01,3
38042.71576957901,36867.749999999665,51.925158537428096,53.677304149082175,-3.6998908666788504,2025-01-01,2
62581.999999999694,62581.999999999694,70.7773040341092,70.7773040341092,,2025-02-01,1
