date,forecast
2025-04-28,1087.4155
2025-05-05,1208.0542
2025-05-12,1253.965
2025-05-19,1196.887
2025-05-26,1047.0474
2025-06-02,1172.4722
2025-06-09,1122.144
2025-06-16,938.4141
2025-06-23,947.4078
2025-06-30,944.8892
2025-07-07,835.7536
2025-07-14,797.1475
2025-07-21,846.4329
2025-07-28,841.29877
2025-08-04,805.7004
2025-08-11,805.6888
2025-08-18,700.3616
2025-08-25,668.03705
2025-09-01,623.3296
2025-09-08,626.87805
2025-09-15,621.8729
2025-09-22,593.96313
2025-09-29,586.22327
2025-10-06,594.5035
2025-10-13,563.3257
2025-10-20,573.91736
2025-10-27,580.5763
2025-11-03,569.6865
2025-11-10,576.1506
2025-11-17,565.1357
2025-11-24,571.24164
2025-12-01,577.4611
2025-12-08,564.86163
2025-12-15,570.4198
2025-12-22,573.30334
2025-12-29,576.28894
2026-01-05,545.611
2026-01-12,577.2952
2026-01-19,573.564
2026-01-26,577.84906
2026-02-02,571.6507
2026-02-09,576.1254
2026-02-16,571.82697
2026-02-23,578.2719
2026-03-02,563.0187
2026-03-09,574.68384
2026-03-16,574.13916
2026-03-23,568.22815
2026-03-30,570.17554
2026-04-06,573.55505
2026-04-13,573.577
