forecast_date,date,forecast
2024-04-01,2024-05-01,2668.324792321727
2024-04-01,2024-06-01,2982.8625553914962
2024-04-01,2024-07-01,2859.664678742189
2024-04-01,2024-08-01,2316.7484291772535
2024-04-01,2024-09-01,2471.5252604454627
2024-04-01,2024-10-01,2505.3368755234924
2024-04-01,2024-11-01,2469.9344180706616
2024-04-01,2024-12-01,2625.103859606343
2024-04-01,2025-01-01,2988.645006984961
2024-04-01,2025-02-01,3290.797307622345
2024-04-01,2025-03-01,3342.4938874978297
2024-05-01,2024-06-01,2599.103651678828
2024-05-01,2024-07-01,2851.6215201595305
2024-05-01,2024-08-01,2854.4082717620636
2024-05-01,2024-09-01,2342.8735134026624
2024-05-01,2024-10-01,2545.991146595884
2024-05-01,2024-11-01,2543.009709370457
2024-05-01,2024-12-01,2582.585489740021
2024-05-01,2025-01-01,3004.09509340951
2024-05-01,2025-02-01,3286.9783507428538
2024-05-01,2025-03-01,3337.471870412631
2024-06-01,2024-07-01,2553.9842146016776
2024-06-01,2024-08-01,2832.8109649992325
2024-06-01,2024-09-01,2641.86252718264
2024-06-01,2024-10-01,2437.747085642156
2024-06-01,2024-11-01,2551.992321199246
2024-06-01,2024-12-01,2597.294078183928
2024-06-01,2025-01-01,2954.979252904148
2024-06-01,2025-02-01,3280.2749474584925
2024-06-01,2025-03-01,3333.300354927308
2024-07-01,2024-08-01,2531.2454824534734
2024-07-01,2024-09-01,2669.953378842853
2024-07-01,2024-10-01,2980.4274325857996
2024-07-01,2024-11-01,2459.3374463617192
2024-07-01,2024-12-01,2608.2781730304073
2024-07-01,2025-01-01,3198.232941943747
2024-07-01,2025-02-01,3232.5822613172068
2024-07-01,2025-03-01,3292.933956900315
2024-08-01,2024-09-01,2479.942206848238
2024-08-01,2024-10-01,2965.438129170356
2024-08-01,2024-11-01,2933.648430302096
2024-08-01,2024-12-01,2480.85029222655
2024-08-01,2025-01-01,3235.1347815404242
2024-08-01,2025-02-01,3341.788322559104
2024-08-01,2025-03-01,3266.3076738794452
2024-09-01,2024-10-01,2682.788664908158
2024-09-01,2024-11-01,2906.437234441394
2024-09-01,2024-12-01,2712.1111958822266
2024-09-01,2025-01-01,3035.224896304375
2024-09-01,2025-02-01,3317.381720410295
2024-09-01,2025-03-01,3494.604888412666
2024-10-01,2024-11-01,2638.8876068287436
2024-10-01,2024-12-01,2756.096559030615
2024-10-01,2025-01-01,3965.173014171164
2024-10-01,2025-02-01,3332.624180583624
2024-10-01,2025-03-01,3587.6241296927365
2024-11-01,2024-12-01,2668.3661759980273
2024-11-01,2025-01-01,4036.373462249876
2024-11-01,2025-02-01,4171.853392743675
2024-11-01,2025-03-01,3478.464313984637
2024-12-01,2025-01-01,3622.4681015727715
2024-12-01,2025-02-01,3682.794746846708
2024-12-01,2025-03-01,3638.931749922176
2025-01-01,2025-02-01,3733.3372442920336
2025-01-01,2025-03-01,3822.9524524003937
2025-02-01,2025-03-01,3879.2865799692863
