rmse,mae,mape,nrmse,r2,forecast_date,n_periods
3503.2556466704204,2705.18577885188,48.5453816278703,70.75724746313875,-0.704627053113883,2024-04-01,11
3638.353359233447,2608.4435720949414,44.298246572371134,75.26278100271911,-0.7038210197643515,2024-05-01,10
3737.157402001529,2788.0383231090423,44.17031794131196,72.00072059342759,-0.8966911289296846,2024-06-01,9
3987.810108645201,2915.655023924721,40.91403204124053,72.48586946551306,-1.1451851894346121,2024-07-01,8
4300.245644350105,3227.312811933812,48.60599981934704,76.95106986668728,-1.1983162014876032,2024-08-01,7
4358.334856241491,3223.476461980287,45.05755709573647,76.64803217589163,-0.9488392784627795,2024-09-01,6
4645.381928027586,3679.124182920109,47.680949838302226,72.60451264461233,-1.4935102578529738,2024-10-01,5
5349.935613732874,4578.993522189459,56.02131285173255,73.82276271192045,-2.966678278757287,2024-11-01,4
5976.074654174918,4874.44242097171,54.74650170368213,80.13688522494526,-2.7816888129950157,2024-12-01,3
6726.7675508789625,6484.883011917678,67.99094455329924,71.74836063014199,-13.467807203307322,2025-01-01,2
8234.232597183392,8234.232597183392,73.88938080746044,73.88938080746044,,2025-02-01,1
