forecast_date,date,forecast
2024-04-01,2024-05-01,12007.405
2024-04-01,2024-06-01,10429.15
2024-04-01,2024-07-01,9985.51
2024-04-01,2024-08-01,8902.995
2024-04-01,2024-09-01,8524.707857142857
2024-04-01,2024-10-01,8519.43
2024-04-01,2024-11-01,8748.220833333333
2024-04-01,2024-12-01,10756.368333333336
2024-04-01,2025-01-01,9733.47
2024-04-01,2025-02-01,11009.515
2024-04-01,2025-03-01,11142.74
2024-05-01,2024-06-01,11079.61
2024-05-01,2024-07-01,9927.25
2024-05-01,2024-08-01,10213.835
2024-05-01,2024-09-01,9052.172857142858
2024-05-01,2024-10-01,8790.355
2024-05-01,2024-11-01,8631.8
2024-05-01,2024-12-01,10789.963333333335
2024-05-01,2025-01-01,9422.09
2024-05-01,2025-02-01,11304.52
2024-05-01,2025-03-01,10921.655
2024-06-01,2024-07-01,10784.585
2024-06-01,2024-08-01,10106.69
2024-06-01,2024-09-01,10309.3
2024-06-01,2024-10-01,9280.825
2024-06-01,2024-11-01,8892.285
2024-06-01,2024-12-01,11122.96
2024-06-01,2025-01-01,9447.325
2024-06-01,2025-02-01,10876.97
2024-06-01,2025-03-01,11320.9
2024-07-01,2024-08-01,10906.075
2024-07-01,2024-09-01,10195.945
2024-07-01,2024-10-01,10662.27
2024-07-01,2024-11-01,9376.575
2024-07-01,2024-12-01,11150.125
2024-07-01,2025-01-01,9496.095
2024-07-01,2025-02-01,10412.895
2024-07-01,2025-03-01,10619.46
2024-08-01,2024-09-01,11036.215
2024-08-01,2024-10-01,10621.28
2024-08-01,2024-11-01,10696.605
2024-08-01,2024-12-01,11536.67
2024-08-01,2025-01-01,9644.065
2024-08-01,2025-02-01,10846.81
2024-08-01,2025-03-01,10532.16
2024-09-01,2024-10-01,11396.245
2024-09-01,2024-11-01,10707.23
2024-09-01,2024-12-01,12503.05
2024-09-01,2025-01-01,9824.45
2024-09-01,2025-02-01,10802.392044008471
2024-09-01,2025-03-01,11175.47
2024-10-01,2024-11-01,11526.695
2024-10-01,2024-12-01,12489.415
2024-10-01,2025-01-01,11200.2
2024-10-01,2025-02-01,11158.647044008472
2024-10-01,2025-03-01,11167.59
2024-11-01,2024-12-01,13066.51
2024-11-01,2025-01-01,11112.815
2024-11-01,2025-02-01,12202.54
2024-11-01,2025-03-01,11665.33
2024-12-01,2025-01-01,12048.07
2024-12-01,2025-02-01,11888.77
2024-12-01,2025-03-01,12288.92
2025-01-01,2025-02-01,13107.475
2025-01-01,2025-03-01,12161.49
2025-02-01,2025-03-01,13295.67
