forecast_date,date,forecast
2024-04-01,2024-05-01,5838.090768389371
2024-04-01,2024-06-01,5691.06892358207
2024-04-01,2024-07-01,5895.449055563283
2024-04-01,2024-08-01,4271.188433527413
2024-04-01,2024-09-01,4229.814230625794
2024-04-01,2024-10-01,3858.1641134930655
2024-04-01,2024-11-01,3358.0984457533996
2024-04-01,2024-12-01,3879.4759252273107
2024-04-01,2025-01-01,4489.624937296365
2024-04-01,2025-02-01,4581.961081210269
2024-04-01,2025-03-01,4776.588104021215
2024-05-01,2024-06-01,4813.089785900264
2024-05-01,2024-07-01,5795.762643238762
2024-05-01,2024-08-01,5863.1513512512765
2024-05-01,2024-09-01,4289.304850868407
2024-05-01,2024-10-01,3963.906001193097
2024-05-01,2024-11-01,3880.9543308546163
2024-05-01,2024-12-01,3719.924115947749
2024-05-01,2025-01-01,4651.912304407182
2024-05-01,2025-02-01,4863.999679403131
2024-05-01,2025-03-01,4927.134945636714
2024-06-01,2024-07-01,4901.143241270044
2024-06-01,2024-08-01,5763.876784541432
2024-06-01,2024-09-01,5654.272144407665
2024-06-01,2024-10-01,3992.340883854381
2024-06-01,2024-11-01,3984.197071262949
2024-06-01,2024-12-01,4122.553672381695
2024-06-01,2025-01-01,4712.532248755271
2024-06-01,2025-02-01,4897.904047336691
2024-06-01,2025-03-01,4823.194634167419
2024-07-01,2024-08-01,4869.257382572714
2024-07-01,2024-09-01,5546.660738248957
2024-07-01,2024-10-01,5393.694173983412
2024-07-01,2024-11-01,3632.854331337344
2024-07-01,2024-12-01,4370.274062492348
2024-07-01,2025-01-01,4968.098120815794
2024-07-01,2025-02-01,4871.411739353049
2024-07-01,2025-03-01,4892.106613957225
2024-08-01,2024-09-01,4706.910252205151
2024-08-01,2024-10-01,5236.682257546343
2024-08-01,2024-11-01,5163.985679437266
2024-08-01,2024-12-01,3864.7060494082534
2024-08-01,2025-01-01,5025.807391061168
2024-08-01,2025-02-01,5129.292632248158
2024-08-01,2025-03-01,4953.200855138382
2024-09-01,2024-10-01,4533.460901822791
2024-09-01,2024-11-01,4981.490002518894
2024-09-01,2024-12-01,5033.130704463381
2024-09-01,2025-01-01,4768.3880702056
2024-09-01,2025-02-01,5112.467740267195
2024-09-01,2025-03-01,5062.792240824983
2024-10-01,2024-11-01,4347.292594250836
2024-10-01,2024-12-01,4904.788461560092
2024-10-01,2025-01-01,6560.696857955527
2024-10-01,2025-02-01,5467.900364430419
2024-10-01,2025-03-01,5429.642881256443
2024-11-01,2024-12-01,4334.2899338799325
2024-11-01,2025-01-01,6596.710722412608
2024-11-01,2025-02-01,6110.273227986854
2024-11-01,2025-03-01,5487.453645397705
2024-12-01,2025-01-01,5633.2875465644
2024-12-01,2025-02-01,6724.488273592127
2024-12-01,2025-03-01,6060.774659335838
2025-01-01,2025-02-01,5840.683204098477
2025-01-01,2025-03-01,6303.519225022072
2025-02-01,2025-03-01,5707.5749792104525
