forecast_date,date,forecast
2024-04-01,2024-05-01,2886.243037206744
2024-04-01,2024-06-01,4065.0110388212706
2024-04-01,2024-07-01,3650.418258044834
2024-04-01,2024-08-01,3015.9892661246354
2024-04-01,2024-09-01,4292.895428006069
2024-04-01,2024-10-01,2625.6453985653657
2024-04-01,2024-11-01,2187.278587796597
2024-04-01,2024-12-01,4492.5173042797505
2024-04-01,2025-01-01,4047.2119953153206
2024-04-01,2025-02-01,5023.0470083413975
2024-05-01,2024-06-01,4065.0110388212706
2024-05-01,2024-07-01,3650.418258044834
2024-05-01,2024-08-01,3015.9892661246354
2024-05-01,2024-09-01,4292.895428006069
2024-05-01,2024-10-01,2625.6453985653657
2024-05-01,2024-11-01,2187.278587796597
2024-05-01,2024-12-01,4492.5173042797505
2024-05-01,2025-01-01,4047.2119953153206
2024-06-01,2024-07-01,3650.418258044834
2024-06-01,2024-08-01,3015.9892661246354
2024-06-01,2024-09-01,4292.895428006069
2024-06-01,2024-10-01,2625.6453985653657
2024-06-01,2024-11-01,2187.278587796597
2024-06-01,2024-12-01,4492.5173042797505
2024-07-01,2024-08-01,3015.9892661246354
2024-07-01,2024-09-01,4292.895428006069
2024-07-01,2024-10-01,2625.6453985653657
2024-07-01,2024-11-01,2187.278587796597
2024-08-01,2024-09-01,4292.895428006069
2024-08-01,2024-10-01,2625.6453985653657
