forecast_date,date,forecast
2024-04-01,2024-05-01,25839.00000000027
2024-04-01,2024-06-01,42171.500000000306
2024-04-01,2024-07-01,78105.00000000019
2024-04-01,2024-08-01,25839.000000000644
2024-04-01,2024-09-01,42171.50000000075
2024-04-01,2024-10-01,78105.00000000058
2024-04-01,2024-11-01,25839.000000001128
2024-04-01,2024-12-01,42171.500000001244
2024-04-01,2025-01-01,78105.00000000106
2024-04-01,2025-02-01,25839.000000001615
2024-04-01,2025-03-01,42171.50000000169
2024-05-01,2024-06-01,25839.00000000031
2024-05-01,2024-07-01,42171.50000000031
2024-05-01,2024-08-01,78105.0000000002
2024-05-01,2024-09-01,25839.00000000074
2024-05-01,2024-10-01,42171.50000000078
2024-05-01,2024-11-01,78105.00000000061
2024-05-01,2024-12-01,25839.000000001193
2024-05-01,2025-01-01,42171.50000000131
2024-05-01,2025-02-01,78105.00000000106
2024-05-01,2025-03-01,25839.000000001633
2024-06-01,2024-07-01,25839.00000000027
2024-06-01,2024-08-01,42171.500000000306
2024-06-01,2024-09-01,78105.00000000026
2024-06-01,2024-10-01,25839.000000000695
2024-06-01,2024-11-01,42171.50000000077
2024-06-01,2024-12-01,78105.00000000067
2024-06-01,2025-01-01,25839.000000001204
2024-06-01,2025-02-01,42171.500000001295
2024-06-01,2025-03-01,78105.0000000011
2024-07-01,2024-08-01,25839.00000000032
2024-07-01,2024-09-01,42171.50000000038
2024-07-01,2024-10-01,78105.00000000026
2024-07-01,2024-11-01,25839.000000000717
2024-07-01,2024-12-01,42171.500000000815
2024-07-01,2025-01-01,78105.0000000007
2024-07-01,2025-02-01,25839.000000001164
2024-07-01,2025-03-01,42171.500000001295
2024-08-01,2024-09-01,25839.000000000357
2024-08-01,2024-10-01,42171.50000000036
2024-08-01,2024-11-01,78105.00000000023
2024-08-01,2024-12-01,25839.000000000724
2024-08-01,2025-01-01,42171.500000000815
2024-08-01,2025-02-01,78105.00000000065
2024-08-01,2025-03-01,25839.000000001186
2024-09-01,2024-10-01,25839.000000000357
2024-09-01,2024-11-01,42171.500000000364
2024-09-01,2024-12-01,78105.0000000002
2024-09-01,2025-01-01,25839.000000000793
2024-09-01,2025-02-01,42171.500000000815
2024-09-01,2025-03-01,78105.00000000058
2024-10-01,2024-11-01,25839.00000000035
2024-10-01,2024-12-01,42171.500000000335
2024-10-01,2025-01-01,78105.00000000029
2024-10-01,2025-02-01,25839.00000000077
2024-10-01,2025-03-01,42171.50000000076
2024-11-01,2024-12-01,25839.000000000324
2024-11-01,2025-01-01,42171.50000000038
2024-11-01,2025-02-01,78105.00000000025
2024-11-01,2025-03-01,25839.00000000067
2024-12-01,2025-01-01,25839.000000000367
2024-12-01,2025-02-01,42171.50000000038
2024-12-01,2025-03-01,78105.00000000023
2025-01-01,2025-02-01,25839.000000000335
2025-01-01,2025-03-01,42171.500000000335
2025-02-01,2025-03-01,25839.00000000031
