date,forecast
2025-04-28,1462.8073
2025-05-05,1756.7191
2025-05-12,1680.3822
2025-05-19,1081.5282
2025-05-26,936.94366
2025-06-02,994.82495
2025-06-09,1019.5935
2025-06-16,1011.62994
2025-06-23,1010.25433
2025-06-30,1013.9287
2025-07-07,1023.57623
2025-07-14,1024.759
2025-07-21,1008.2724
2025-07-28,1008.31976
2025-08-04,1007.4285
2025-08-11,1006.25903
2025-08-18,958.9262
2025-08-25,995.07837
2025-09-01,995.6759
2025-09-08,988.57104
2025-09-15,988.7074
2025-09-22,988.6196
2025-09-29,996.1862
2025-10-06,1002.5065
2025-10-13,994.7096
2025-10-20,1002.47363
2025-10-27,1002.47363
2025-11-03,1002.4358
2025-11-10,991.3235
2025-11-17,994.67175
2025-11-24,1002.4358
2025-12-01,997.80133
2025-12-08,997.80133
2025-12-15,998.57916
2025-12-22,1006.5784
2025-12-29,1010.503
2026-01-05,978.8721
2026-01-12,980.86127
2026-01-19,980.74316
2026-01-26,974.8272
2026-02-02,975.17334
2026-02-09,975.17334
2026-02-16,984.93463
2026-02-23,983.16833
2026-03-02,980.5881
2026-03-09,980.5881
2026-03-16,990.1469
2026-03-23,990.1469
2026-03-30,989.9742
2026-04-06,990.3625
2026-04-13,990.3625
2026-04-20,996.7917
2026-04-27,996.4766
2026-05-04,997.1832
2026-05-11,997.211
2026-05-18,997.211
2026-05-25,997.211
2026-06-01,989.44696
2026-06-08,989.44696
2026-06-15,989.44696
2026-06-22,989.44696
2026-06-29,989.44696
2026-07-06,990.0943
2026-07-13,998.1734
