date,forecast
2025-04-28,3464.9963
2025-05-05,6547.782
2025-05-12,6973.4614
2025-05-19,3570.1614
2025-05-26,3027.3838
2025-06-02,3194.4417
2025-06-09,2782.7454
2025-06-16,2948.7815
2025-06-23,2748.3809
2025-06-30,2518.764
2025-07-07,2631.9956
2025-07-14,2829.497
2025-07-21,2629.8804
2025-07-28,2684.2139
2025-08-04,2572.2383
2025-08-11,2556.2107
2025-08-18,2682.7812
2025-08-25,2694.3372
2025-09-01,2546.195
2025-09-08,2502.5525
2025-09-15,2642.0513
2025-09-22,2594.5754
2025-09-29,2454.572
2025-10-06,2535.2021
2025-10-13,2547.3333
2025-10-20,2533.0247
2025-10-27,2541.3508
2025-11-03,2538.2717
2025-11-10,2590.8613
2025-11-17,2636.6812
2025-11-24,2439.4268
2025-12-01,2442.977
2025-12-08,2599.8005
2025-12-15,2605.1882
2025-12-22,2629.37
2025-12-29,2490.566
2026-01-05,2372.3638
2026-01-12,2497.1782
2026-01-19,2459.3315
2026-01-26,2446.3667
2026-02-02,2471.8533
2026-02-09,2462.208
2026-02-16,2446.9224
2026-02-23,2457.4463
2026-03-02,2467.0552
2026-03-09,2467.0552
2026-03-16,2500.914
2026-03-23,2485.966
2026-03-30,2485.966
2026-04-06,2492.671
2026-04-13,2492.671
2026-04-20,2492.671
2026-04-27,2492.671
2026-05-04,2471.7783
2026-05-11,2471.7783
2026-05-18,2475.3086
2026-05-25,2475.3086
2026-06-01,2466.3315
2026-06-08,2462.476
2026-06-15,2462.476
2026-06-22,2462.476
2026-06-29,2462.476
2026-07-06,2451.1343
2026-07-13,2445.2725
