iter	RMSE
0	1036.598503
1	1020.508584
2	1000.597716
3	982.3041282
4	962.1631346
5	946.9864067
6	931.0371637
7	915.4886244
8	899.0186131
9	886.5247268
10	872.8020211
11	859.3619875
12	847.3813124
13	835.3112514
14	825.8979997
15	816.1125934
16	807.5535649
17	797.9718757
18	788.8626437
19	782.2230769
20	774.1347776
21	766.1890507
22	761.4269458
23	755.6895996
24	747.4843714
25	740.6378799
26	734.5300113
27	729.2397778
28	723.5794111
29	720.946111
30	715.1323383
31	710.7292055
32	704.3136186
33	699.1579195
34	694.9366344
35	691.418687
36	687.98651
37	683.4311747
38	680.0077385
39	677.5208465
40	675.832388
41	672.9209963
42	670.8712876
43	667.9495735
44	665.397161
45	663.3778707
46	660.120683
47	654.1107142
48	652.2913482
49	649.5840374
50	645.3581241
51	638.7465724
52	635.4220116
53	631.2386745
54	628.3903167
55	626.158391
56	623.6098321
57	621.4759781
58	618.2626576
59	616.9477921
60	615.4878036
61	613.6922314
62	610.5014618
63	608.9479669
64	606.7385868
65	604.8859534
66	604.4939623
67	603.1149251
68	602.0415895
69	600.0824878
70	598.30982
71	596.631036
72	593.9777325
73	592.5575257
74	589.7107125
75	586.9052934
76	584.9403174
77	583.7060445
78	581.7370519
79	579.3343636
80	578.2241521
81	575.8299247
82	573.1016345
83	571.8577969
84	570.1618648
85	568.0633598
86	564.8922553
87	562.6535315
88	562.2245852
89	558.1755173
90	557.6947163
91	556.2787921
92	554.2776099
93	553.8337816
94	552.5922644
95	550.7397183
96	549.593035
97	548.9738594
98	547.3747239
99	546.263788
100	544.3421521
101	544.0919102
102	542.8583076
103	542.2834425
104	540.2903092
105	539.5638791
106	536.9245286
107	536.047769
108	533.5742139
109	531.644769
110	530.9198095
111	530.1369197
112	528.7565957
113	527.568608
114	526.6778815
115	525.7589033
116	523.9459983
117	521.0997563
118	520.7540879
119	520.5062082
120	520.1902225
121	518.2306368
122	517.5557523
123	517.0492452
124	516.6922404
125	515.2749075
126	514.9806158
127	514.5390889
128	512.8796717
129	512.2662101
130	511.7132203
131	511.514989
132	510.7875293
133	509.8984108
134	509.5026602
135	508.6593074
136	507.8864755
137	507.1574146
138	505.6112667
139	505.0760575
140	503.5688301
141	502.6642106
142	501.8660093
143	501.5599585
144	501.2321226
145	500.3005856
146	498.6256486
147	497.7123086
148	496.0066132
149	495.2685499
150	493.5069546
151	493.0344545
152	491.6431999
153	490.7786231
154	490.1294259
155	489.5118031
156	488.5326558
157	487.8943945
158	487.3294379
159	486.9200207
160	486.4031424
161	484.6307099
162	484.3171482
163	483.5760568
164	482.9132276
165	482.5894187
166	481.7372913
167	481.0413068
168	480.7825292
169	480.4808199
170	479.976282
171	479.6554592
172	478.7812569
173	478.4967646
174	478.0382149
175	477.7710789
176	476.9612999
177	476.7416758
178	474.3724449
179	472.1703854
180	470.5520924
181	469.0961511
182	467.5955401
183	467.3950547
184	465.08926
185	463.9804978
186	463.459132
187	462.9778964
188	462.315657
189	460.855099
190	460.1028903
191	459.8602545
192	459.04845
193	457.1478248
194	456.5869342
195	455.3192168
196	454.2777993
197	452.5083377
198	452.3014071
199	451.7996919
200	450.8431755
201	450.3377261
202	449.6735411
203	449.0912986
204	448.1049514
205	447.4440141
206	446.9845997
207	446.7078153
208	446.502962
209	445.8827192
210	444.9510702
211	444.1514715
212	443.9535541
