iter	Passed	Remaining
0	1	1660
1	12	6391
2	13	4630
3	15	3861
4	16	3300
5	17	2967
6	19	2748
7	20	2576
8	21	2391
9	22	2265
10	23	2152
11	24	2051
12	25	1953
13	26	1866
14	27	1811
15	28	1737
16	28	1673
17	29	1620
18	30	1575
19	31	1539
20	32	1499
21	32	1459
22	33	1410
23	33	1380
24	34	1353
25	35	1329
26	36	1301
27	36	1277
28	38	1276
29	40	1304
30	43	1345
31	44	1347
32	45	1346
33	47	1337
34	48	1324
35	49	1320
36	50	1315
37	51	1314
38	53	1307
39	56	1352
40	57	1351
41	59	1363
42	60	1356
43	62	1354
44	63	1344
45	64	1333
46	65	1322
47	66	1312
48	66	1298
49	67	1289
50	68	1275
51	69	1265
52	70	1255
53	71	1247
54	71	1235
55	72	1224
56	73	1213
57	74	1204
58	74	1195
59	75	1187
60	76	1178
61	77	1169
62	78	1163
63	79	1159
64	80	1151
65	80	1145
66	81	1136
67	82	1129
68	83	1126
69	84	1121
70	85	1115
71	85	1108
72	87	1111
73	88	1105
74	89	1098
75	89	1091
76	90	1087
77	91	1081
78	92	1074
79	92	1068
80	93	1062
81	94	1056
82	95	1051
83	95	1045
84	96	1039
85	97	1034
86	98	1029
87	98	1023
88	99	1018
89	100	1013
90	100	1006
91	101	1003
92	102	999
93	103	995
94	104	991
95	105	988
96	105	985
97	106	980
98	107	977
99	108	973
100	108	969
101	109	964
102	110	960
103	110	955
104	111	950
105	112	952
106	113	949
107	114	947
108	115	944
109	116	942
110	117	939
111	118	936
112	118	933
113	119	931
114	120	928
115	121	924
116	122	922
117	123	919
118	123	916
119	124	912
120	125	908
121	125	905
122	126	904
123	127	901
124	128	896
125	128	894
126	129	891
127	130	887
128	131	885
129	137	917
130	138	916
131	138	913
132	141	922
133	142	920
134	144	923
135	145	925
136	147	927
137	148	925
138	149	926
139	150	925
140	151	922
141	152	919
142	152	916
143	153	914
144	154	912
145	155	912
146	156	910
147	157	909
148	158	906
149	159	905
150	160	903
151	161	900
152	162	897
153	162	895
154	163	892
155	165	894
156	166	891
157	166	889
158	168	888
159	168	885
160	169	882
161	170	879
162	171	878
163	172	876
164	172	875
165	173	873
166	174	870
167	175	867
168	175	865
169	176	862
170	177	859
171	177	856
172	178	853
173	179	851
174	180	848
175	180	846
176	181	843
177	182	841
178	182	838
179	183	836
180	184	834
181	185	832
182	185	829
183	186	827
184	187	825
185	188	824
186	189	823
187	190	821
188	190	818
189	191	816
190	192	813
191	192	811
192	193	809
193	194	807
194	194	804
195	195	803
196	196	802
197	197	800
198	198	798
199	199	796
200	199	794
201	200	792
202	201	789
203	202	788
204	202	786
205	204	786
206	204	784
207	205	782
208	206	780
209	206	778
210	207	777
211	208	775
212	209	772
