combination_id,state,star_rating,tonnage,status,data_points,training_points,test_points,is_stationary,best_params,mae,mse,rmse,mape,predictions,error_message
1,Andhra Pradesh,1 Star,1.8,success,40,22,6,True,"(0, 0, 0, 0, 0, 0)",7.934393882654452e-14,6.941975965944904e-27,8.331852114593072e-14,1.1207945632370398e-13,"[{'date': '2025-01', 'predicted': 51.99999999999994, 'actual': 52.0, 'error': -5.684341886080802e-14}, {'date': '2025-02', 'predicted': 51.000000000000114, 'actual': 51.0, 'error': 1.1368683772161603e-13}, {'date': '2025-03', 'predicted': 158.00000000000006, 'actual': 158.0, 'error': 5.684341886080802e-14}, {'date': '2025-04', 'predicted': 76.99999999999989, 'actual': 77.0, 'error': -1.1368683772161603e-13}, {'date': '2025-05', 'predicted': 61.99999999999992, 'actual': 62.0, 'error': -7.815970093361102e-14}, {'date': '2025-06', 'predicted': 185.99999999999994, 'actual': 186.0, 'error': -5.684341886080802e-14}]",
0,Andhra Pradesh,2 Star,1.8,error,0,0,0,,,,,,,[],Insufficient data: 10 months
3,Andhra Pradesh,3 Star,0.8,success,33,16,5,True,"(0, 0, 0, 0, 0, 0)",1.3997691894473973e-13,2.788149983413144e-26,1.6697754290362354e-13,2.4713598019046625e-12,"[{'date': '2025-02', 'predicted': 26.000000000000014, 'actual': 26.0, 'error': 1.4210854715202004e-14}, {'date': '2025-03', 'predicted': 3.000000000000238, 'actual': 3.0, 'error': 2.3803181647963356e-13}, {'date': '2025-04', 'predicted': 7.000000000000249, 'actual': 7.0, 'error': 2.4868995751603507e-13}, {'date': '2025-05', 'predicted': 34.00000000000012, 'actual': 34.0, 'error': 1.2079226507921703e-13}, {'date': '2025-06', 'predicted': 17.000000000000078, 'actual': 17.0, 'error': 7.815970093361102e-14}]",
0,Andhra Pradesh,3 Star,0.9,error,0,0,0,,,,,,,[],Exception during evaluation: too many values to unpack (expected 3)
5,Andhra Pradesh,3 Star,1.0,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",1.6579330501069003e-13,4.752518818867493e-26,2.1800272518634928e-13,1.6804952303037205e-13,"[{'date': '2025-01', 'predicted': 61.9999999999996, 'actual': 62.0, 'error': -3.979039320256561e-13}, {'date': '2025-02', 'predicted': 255.99999999999972, 'actual': 256.0, 'error': -2.8421709430404007e-13}, {'date': '2025-03', 'predicted': 155.99999999999994, 'actual': 156.0, 'error': -5.684341886080802e-14}, {'date': '2025-04', 'predicted': 385.0, 'actual': 385.0, 'error': 0.0}, {'date': '2025-05', 'predicted': 71.99999999999994, 'actual': 72.0, 'error': -5.684341886080802e-14}, {'date': '2025-06', 'predicted': 141.9999999999998, 'actual': 142.0, 'error': -1.9895196601282805e-13}]",
0,Andhra Pradesh,3 Star,1.4,error,0,0,0,,,,,,,[],Exception during evaluation: too many values to unpack (expected 3)
7,Andhra Pradesh,3 Star,1.5,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",2.2131037743141253e-11,5.344793062152532e-22,2.3118808494713848e-11,1.2817296890291749e-12,"[{'date': '2025-01', 'predicted': 838.9999999999877, 'actual': 839.0, 'error': -1.2278178473934531e-11}, {'date': '2025-02', 'predicted': 3222.9999999999854, 'actual': 3223.0, 'error': -1.4551915228366852e-11}, {'date': '2025-03', 'predicted': 5129.999999999969, 'actual': 5130.0, 'error': -3.092281986027956e-11}, {'date': '2025-04', 'predicted': 1605.9999999999727, 'actual': 1606.0, 'error': -2.7284841053187847e-11}, {'date': '2025-05', 'predicted': 1451.9999999999748, 'actual': 1452.0, 'error': -2.523847797419876e-11}, {'date': '2025-06', 'predicted': 1296.9999999999775, 'actual': 1297.0, 'error': -2.2509993868879974e-11}]",
8,Andhra Pradesh,3 Star,1.8,success,42,24,6,True,"(0, 0, 0, 0, 0, 0)",2.800722616787728e-13,7.999891030573296e-26,2.8284078614254515e-13,5.497950651684016e-13,"[{'date': '2025-01', 'predicted': 86.00000000000034, 'actual': 86.0, 'error': 3.410605131648481e-13}, {'date': '2025-02', 'predicted': 50.000000000000256, 'actual': 50.0, 'error': 2.5579538487363607e-13}, {'date': '2025-03', 'predicted': 65.00000000000031, 'actual': 65.0, 'error': 3.126388037344441e-13}, {'date': '2025-04', 'predicted': 49.00000000000023, 'actual': 49.0, 'error': 2.2737367544323206e-13}, {'date': '2025-05', 'predicted': 58.00000000000025, 'actual': 58.0, 'error': 2.4868995751603507e-13}, {'date': '2025-06', 'predicted': 29.000000000000295, 'actual': 29.0, 'error': 2.948752353404416e-13}]",
9,Andhra Pradesh,3 Star,2.2,success,40,22,6,False,"(0, 0, 0, 0, 0, 0)",2.8895404587577406e-13,1.1591837685679636e-25,3.404678793319516e-13,2.1937617552131754e-13,"[{'date': '2025-01', 'predicted': 82.0000000000004, 'actual': 82.0, 'error': 3.979039320256561e-13}, {'date': '2025-02', 'predicted': 341.00000000000006, 'actual': 341.0, 'error': 5.684341886080802e-14}, {'date': '2025-03', 'predicted': 426.0000000000001, 'actual': 426.0, 'error': 1.1368683772161603e-13}, {'date': '2025-04', 'predicted': 174.00000000000057, 'actual': 174.0, 'error': 5.684341886080801e-13}, {'date': '2025-05', 'predicted': 108.0000000000004, 'actual': 108.0, 'error': 3.979039320256561e-13}, {'date': '2025-06', 'predicted': 215.0000000000002, 'actual': 215.0, 'error': 1.9895196601282805e-13}]",
0,Andhra Pradesh,3 Star,2.6,error,0,0,0,,,,,,,[],Insufficient data: 9 months
