Source_Location,Target_Location,Model_Type,Model_Name,MAE,RMSE,MAPE,R2,Training_Time
Bangalore,Bangalore,Time Series,SARIMA,692.3945364752126,1218.2322699095619,,0.7546542660496817,0.392596
Bangalore,Chennai,Time Series,SARIMA,6291.24023248793,7511.018651801166,,-0.7544165135306837,0.453056
Bangalore,Cochin,Time Series,SARIMA,2993.8387656768577,3880.944744630007,,-0.002311519353948688,0.38778
Bangalore,Secunderabad,Time Series,SARIMA,4672.985812259735,7630.025612668936,,0.31279664106619076,0.323413
Bangalore,Vijaywada,Time Series,SARIMA,2788.552931183669,3535.5653001852484,,0.1439983185011786,0.348248
Chennai,Bangalore,Time Series,ETS,1115.289697619032,1267.2035704598338,,0.7345326662674463,0.099899
Chennai,Chennai,Time Series,ETS,3187.2514181122583,5075.989634610912,,0.19873443544485736,0.053168
Chennai,Cochin,Time Series,ETS,2967.5004030879077,3654.737187086905,,0.11112619635521837,0.10243
Chennai,Secunderabad,Time Series,ETS,5633.333850919287,8224.025101598168,,0.20163381060587793,0.090354
Chennai,Vijaywada,Time Series,ETS,3367.3751174348486,4082.644728693079,,-0.14140578847144725,0.012599
Cochin,Bangalore,ML,Extra Trees,1896.7058333333334,2494.48420962297,36.17397837888963,-0.028678896731005876,0.085513
Cochin,Chennai,ML,Extra Trees,4853.087500000001,5645.713603114461,31.26386430223271,0.00877393775063584,0.087874
Cochin,Cochin,ML,Extra Trees,2911.539166666667,3687.0111543622525,40.68666567916928,0.09535808599825402,0.080553
Cochin,Secunderabad,ML,Extra Trees,5336.775833333334,8121.802127372451,34.98259171926812,0.22135752471971903,0.085056
Cochin,Vijaywada,ML,Extra Trees,3841.7325000000005,4568.77755475594,49.55608293930641,-0.429410339588326,0.070473
Secunderabad,Bangalore,ML,Gradient Boosting,1677.8938468482172,2317.565153750595,28.444586792793285,0.11206287019041183,0.060465
Secunderabad,Chennai,ML,Gradient Boosting,5964.866261672283,6747.177781087995,41.180362003646955,-0.4157264062525239,0.057894
Secunderabad,Cochin,ML,Gradient Boosting,3673.3127541104354,4663.368572779421,49.407636180597756,-0.44719577479029393,0.067199
Secunderabad,Secunderabad,ML,Gradient Boosting,4672.800484745624,7899.091265565887,32.72639717991731,0.26347491090878783,0.071767
Secunderabad,Vijaywada,ML,Gradient Boosting,3810.3954403856533,4431.689033146042,49.88489954671676,-0.34491689627536704,0.058814
Vijaywada,Bangalore,Time Series,SARIMA,692.3945364752126,1218.2322699095619,,0.7546542660496817,0.461078
Vijaywada,Chennai,Time Series,SARIMA,6291.24023248793,7511.018651801166,,-0.7544165135306837,0.447865
Vijaywada,Cochin,Time Series,SARIMA,2993.8387656768577,3880.944744630007,,-0.002311519353948688,0.594831
Vijaywada,Secunderabad,Time Series,SARIMA,4672.985812259735,7630.025612668936,,0.31279664106619076,0.448181
Vijaywada,Vijaywada,Time Series,SARIMA,2788.552931183669,3535.5653001852484,,0.1439983185011786,0.414405
