Target_Location,Strategy,MAE,RMSE,MAPE,R2
Bangalore,Cross-Location Simple Average,11430.628182827868,15003.004244114041,235.249885058811,-36.21129432092284
Bangalore,Cross-Location Weighted Average,11430.628182827866,15003.00424411404,235.24988505881095,-36.211294320922825
Bangalore,Cross-Location Performance Weighted,914.8722149688234,1371.2667486584312,15.553814054703471,0.6891418899303456
Bangalore,Cross-Location Median,1469.4061717340949,1880.484791226594,25.44465610295624,0.4154011418105972
Bangalore,Cross-Location Trimmed Mean (10%),1942.5744324606774,2296.991751994943,39.815535473699754,0.12775762101686627
Bangalore,Cross-Location Trimmed Mean (20%),1682.0523682510059,1977.4563238990465,33.763955603326906,0.3535542089814333
Chennai,Cross-Location Simple Average,10431.46002022446,12913.708525118793,66.05973718250819,-4.186053409085165
Chennai,Cross-Location Weighted Average,10431.46002022446,12913.708525118793,66.05973718250819,-4.186053409085163
Chennai,Cross-Location Performance Weighted,9971.794249812809,11022.354846471297,62.164073861858235,-2.778190069736644
Chennai,Cross-Location Median,11069.417447056876,12032.092780469824,69.88404591393605,-3.5021231446198593
Chennai,Cross-Location Trimmed Mean (10%),10564.008265890885,11554.796161173726,66.33866806941315,-3.1520215845115525
Chennai,Cross-Location Trimmed Mean (20%),10807.135067046887,11761.88425484255,68.16820261060089,-3.3021824891744487
Cochin,Cross-Location Simple Average,11420.788975423291,13139.553602939273,227.7358868821634,-10.489179763724323
Cochin,Cross-Location Weighted Average,11420.78897542329,13139.55360293927,227.7358868821634,-10.489179763724314
Cochin,Cross-Location Performance Weighted,2058.7404187478683,2603.685676591584,40.99355673460227,0.5488666737550677
Cochin,Cross-Location Median,2040.082905165447,2859.1990169023466,37.18701680216514,0.45597786014128283
Cochin,Cross-Location Trimmed Mean (10%),2391.0612245780194,2739.649120398792,52.576097181771416,0.5005204736165736
Cochin,Cross-Location Trimmed Mean (20%),2224.2833698771005,2701.6141118065952,47.892719941665554,0.5142929189652378
Secunderabad,Cross-Location Simple Average,7731.9845304565415,10431.741104178704,55.09744091140815,-0.2845377809432179
Secunderabad,Cross-Location Weighted Average,7731.9845304565415,10431.741104178704,55.09744091140817,-0.28453778094321813
Secunderabad,Cross-Location Performance Weighted,7484.059632527843,10482.817394313437,50.04642054648253,-0.29714738147285336
Secunderabad,Cross-Location Median,9575.520628946226,12616.316355652854,60.069240509357044,-0.8788773147652549
Secunderabad,Cross-Location Trimmed Mean (10%),8636.589642168949,11726.658829922426,54.87017781102262,-0.6232367341770231
Secunderabad,Cross-Location Trimmed Mean (20%),9060.276643159648,12128.92486223391,57.175452842340945,-0.7365124176113169
Vijaywada,Cross-Location Simple Average,14108.879936032929,15883.86234760877,238.04780288754094,-16.277031359300956
Vijaywada,Cross-Location Weighted Average,14108.879936032923,15883.862347608769,238.04780288754088,-16.27703135930095
Vijaywada,Cross-Location Performance Weighted,2402.4233937317117,3320.481378790208,40.596256056838314,0.24497907124825768
Vijaywada,Cross-Location Median,3204.303538623901,4056.434585098484,43.20285137124972,-0.12679742476694322
Vijaywada,Cross-Location Trimmed Mean (10%),2464.1151556849327,3330.3721736833645,41.57559359875593,0.24047437540216787
Vijaywada,Cross-Location Trimmed Mean (20%),2590.377492389026,3547.6345538455253,42.203774056120515,0.13814412864665226
