Target_Location,Strategy,MAE,RMSE,MAPE,R2
Bangalore,Hybrid Simple Average,9293.855300885882,11937.781643615943,190.13558694507725,-22.559473125045816
Bangalore,Hybrid Weighted Average,9293.855300885882,11937.781643615943,190.13558694507725,-22.559473125045816
Bangalore,Hybrid Performance Weighted,848.2743563517646,1428.7185143767256,13.126624447641872,0.6625482711733056
Bangalore,Hybrid Median,949.8234165722397,1458.9607836174016,15.608993985097003,0.6481111152479956
Bangalore,Hybrid Trimmed Mean (10%),1406.4275104734427,1718.7437233213718,26.866991197205742,0.5116394631651303
Bangalore,Hybrid Trimmed Mean (20%),1092.7112946579202,1455.6476410252737,19.071210593641595,0.6497075039870148
Chennai,Hybrid Simple Average,9129.394289043354,10853.021746277924,56.2802957744297,-2.662995389505537
Chennai,Hybrid Weighted Average,9129.394289043354,10853.021746277924,56.28029577442971,-2.662995389505537
Chennai,Hybrid Performance Weighted,7141.307461838893,8030.527829506012,44.2144964951608,-1.005502503943208
Chennai,Hybrid Median,10408.038638508866,11358.048636960804,65.54998175291377,-3.011829557527413
Chennai,Hybrid Trimmed Mean (10%),9024.443219360139,9922.324348338252,56.40855289768017,-2.0616945741988433
Chennai,Hybrid Trimmed Mean (20%),9620.50827985194,10586.766548817614,60.14869930499426,-2.4854728048260846
Cochin,Hybrid Simple Average,9456.66960026475,10527.162558338614,186.43611373695117,-6.374803638029167
Cochin,Hybrid Weighted Average,9456.66960026475,10527.162558338618,186.4361137369512,-6.37480363802917
Cochin,Hybrid Performance Weighted,1855.0630680930428,2686.7351565985036,31.482457379447464,0.5196281837460026
Cochin,Hybrid Median,2398.6499860701106,3197.8336171159576,35.22969075198659,0.3194821360870205
Cochin,Hybrid Trimmed Mean (10%),1982.719476577585,2667.592158507119,36.7621327027246,0.5264490993382612
Cochin,Hybrid Trimmed Mean (20%),2002.0167548468944,2813.03756107656,34.664671136182065,0.47340241274349804
Secunderabad,Hybrid Simple Average,7230.033281666634,9913.651021759864,47.676189392374496,-0.16011364730591127
Secunderabad,Hybrid Weighted Average,7230.033281666635,9913.651021759864,47.676189392374525,-0.16011364730591127
Secunderabad,Hybrid Performance Weighted,6670.293787179278,9803.600898219085,44.66517342812889,-0.13450007215352455
Secunderabad,Hybrid Median,8997.442875509103,12073.822859039656,56.8704449733874,-0.7207702205897675
Secunderabad,Hybrid Trimmed Mean (10%),7778.55866734676,10896.63300859683,49.59799956476387,-0.4015801261806897
Secunderabad,Hybrid Trimmed Mean (20%),8108.157887600242,11196.81978050867,51.324274509509934,-0.47986690532412046
Vijaywada,Hybrid Simple Average,11112.951112841023,12540.414585043278,188.7020435804655,-9.769131522721276
Vijaywada,Hybrid Weighted Average,11112.951112841023,12540.41458504328,188.70204358046553,-9.769131522721278
Vijaywada,Hybrid Performance Weighted,2422.450362397416,3407.575138160614,37.666437497711165,0.20485236061312695
Vijaywada,Hybrid Median,3570.0192976775743,4351.243749261424,46.83433024022024,-0.2965334232104899
Vijaywada,Hybrid Trimmed Mean (10%),2508.2941045863263,3435.883072142797,39.166896718980745,0.19158633945149106
Vijaywada,Hybrid Trimmed Mean (20%),2730.08821456926,3718.488482562492,40.58116599608172,0.053131272123095985
