Model_Type,Model_Name,MAE,RMSE,MAPE,R2,Training_Time,Location
ML,Linear Regression,14860.138542717415,36129.593211092084,268.9030962600984,-214.7965293807201,0.001509,Bangalore
ML,Ridge,2682.9273912530894,3590.5460757633805,47.407226977544134,-1.131274164876674,0.002012,Bangalore
ML,Lasso,5004.735053321586,7063.42167652156,88.3441745682239,-7.2479986220838,0.006557,Bangalore
ML,ElasticNet,2325.3417586643086,3127.090399218278,40.864988130286946,-0.616587381341233,0.004657,Bangalore
ML,Decision Tree,2965.25,3741.8001126908603,52.36302630214066,-1.3146188176305338,0.003016,Bangalore
ML,Random Forest,1692.5041666666668,2074.746070139267,32.540026714260435,0.2883798885452785,0.143259,Bangalore
ML,Gradient Boosting,1677.8938468482172,2317.565153750595,28.444586792793285,0.11206287019041183,0.073022,Bangalore
ML,AdaBoost,1255.886826441103,1685.6749048255042,24.10639523629108,0.5302509019732498,0.171531,Bangalore
ML,Extra Trees,1896.7058333333334,2494.48420962297,36.17397837888963,-0.028678896731005876,0.091355,Bangalore
ML,XGBoost,1609.1830240885417,2117.7029004000556,32.27600279669512,0.2586071814366401,0.063469,Bangalore
ML,LightGBM,1958.5809523809523,3020.983545994594,29.169702760548127,-0.5087421790559266,0.01103,Bangalore
ML,CatBoost,1532.169919963622,2158.909067650424,26.79429042471601,0.22947450535652614,0.407428,Bangalore
ML,SVR,2666.9921949611858,3619.2819692607072,41.89210322600128,-1.165524744414117,0.000998,Bangalore
ML,KNN,1721.3833333333334,2145.2617532599606,31.51432566145975,0.23918530530861548,0.004519,Bangalore
Deep Learning,LSTM,5135.54835498333,5263.569551774166,99.84457896618835,-19.999409114291357,8.486538,Bangalore
Deep Learning,GRU,5142.360729545355,5270.29270956787,99.98191565940536,-20.053088468489253,8.539264,Bangalore
Deep Learning,Feed-Forward NN,5313.97407963872,5848.827172643244,99.75645628076131,-4.655303139313588,13.472638,Bangalore
Deep Learning,Transformer,5317.967309628923,5853.833017835232,99.81922232770684,-4.6649877088427685,10.971122,Bangalore
Deep Learning,TCN,5314.343157976866,5848.211094639673,99.77805799518991,-4.654111815218,11.119492,Bangalore
Time Series,ARIMA,1856.1523266165816,2765.1823875215314,,-0.2640547244786875,0.070301,Bangalore
Time Series,SARIMA,692.3945364752126,1218.2322699095619,,0.7546542660496817,0.452206,Bangalore
Time Series,Prophet,1139.1204013156005,1457.9159467571003,23.842531956921064,0.6486149462340074,0.300069,Bangalore
Time Series,ETS,1115.289697619032,1267.2035704598338,,0.7345326662674463,0.122004,Bangalore
