Model_Type,Model_Name,MAE,RMSE,MAPE,R2,Training_Time,Location
ML,Linear Regression,14860.138542717415,36129.593211092084,268.9030962600984,-214.7965293807201,0.001511,Bangalore
ML,Ridge,2682.9273912530894,3590.5460757633805,47.407226977544134,-1.131274164876674,0.002012,Bangalore
ML,Lasso,5004.735053321586,7063.42167652156,88.3441745682239,-7.2479986220838,0.003523,Bangalore
ML,ElasticNet,2325.3417586643086,3127.090399218278,40.864988130286946,-0.616587381341233,0.004007,Bangalore
ML,Decision Tree,2965.25,3741.8001126908603,52.36302630214066,-1.3146188176305338,0.001001,Bangalore
ML,Random Forest,1692.5041666666668,2074.746070139267,32.540026714260435,0.2883798885452785,0.117868,Bangalore
ML,Gradient Boosting,1677.8938468482172,2317.565153750595,28.444586792793285,0.11206287019041183,0.072728,Bangalore
ML,AdaBoost,1255.886826441103,1685.6749048255042,24.10639523629108,0.5302509019732498,0.148863,Bangalore
ML,Extra Trees,1896.7058333333334,2494.48420962297,36.17397837888963,-0.028678896731005876,0.08253,Bangalore
ML,XGBoost,1609.1830240885417,2117.7029004000556,32.27600279669512,0.2586071814366401,0.056534,Bangalore
ML,LightGBM,1958.5809523809523,3020.983545994594,29.169702760548127,-0.5087421790559266,0.008531,Bangalore
ML,CatBoost,1532.169919963622,2158.909067650424,26.79429042471601,0.22947450535652614,0.578967,Bangalore
ML,SVR,2666.9921949611858,3619.2819692607072,41.89210322600128,-1.165524744414117,0.001996,Bangalore
ML,KNN,1721.3833333333334,2145.2617532599606,31.51432566145975,0.23918530530861548,0.004057,Bangalore
Deep Learning,LSTM,5139.07815758263,5266.407107126586,99.92911999643468,-20.022056500867166,8.21493,Bangalore
Deep Learning,GRU,5139.775197446346,5267.149308476861,99.94210979173297,-20.02798224790874,8.717392,Bangalore
Deep Learning,Feed-Forward NN,5319.275733217597,5854.376648484015,99.84605454686685,-4.666039943825996,11.380541,Bangalore
Deep Learning,Transformer,5320.253839654227,5856.0154648052685,99.8668375216341,-4.66921257823399,10.723177,Bangalore
Deep Learning,TCN,5319.122377256553,5854.7591947320925,99.84931513844028,-4.666780447305362,9.80756,Bangalore
Time Series,ARIMA,1856.1523266165816,2765.1823875215314,,-0.2640547244786875,0.051203,Bangalore
Time Series,SARIMA,692.3945364752126,1218.2322699095619,,0.7546542660496817,0.341678,Bangalore
Time Series,Prophet,1139.1204013156005,1457.9159467571003,23.842531956921064,0.6486149462340074,0.242227,Bangalore
Time Series,ETS,1115.289697619032,1267.2035704598338,,0.7345326662674463,0.100603,Bangalore
ML,Linear Regression,57683.29161365627,170509.5310770031,327.61345190194737,-903.1330516542619,0.001005,Chennai
ML,Ridge,7831.975167041467,8532.150014059489,58.251836787914,-1.263872640884287,0.001574,Chennai
ML,Lasso,19759.153882004797,21051.39627043602,151.81062536633343,-12.781511078162062,0.004511,Chennai
ML,ElasticNet,5489.408938422173,6243.1958194976405,40.0039703768125,-0.21212927252501723,0.003515,Chennai
