Date,Max_Temp,Min_Temp,Humidity,Wind_Speed
2021-01-01,29.3,22.0,74.0,8.0
2021-02-01,31.3,20.0,64.0,9.0
2021-03-01,36.1,23.0,53.0,9.0
2021-04-01,37.6,27.0,54.0,9.0
2021-05-01,36.7,29.0,55.0,8.0
2021-06-01,36.2,28.0,53.0,9.0
2021-07-01,35.1,28.0,64.0,9.0
2021-08-01,34.1,27.0,62.0,8.0
2021-09-01,34.2,27.0,64.0,8.0
2021-10-01,32.7,26.0,76.0,8.0
2021-11-01,28.6,25.0,88.0,9.0
2021-12-01,29.6,22.0,76.0,9.0
2022-01-01,30.0,22.0,74.0,10.0
2022-02-01,32.0,21.0,65.0,11.0
2022-03-01,35.7,24.0,52.0,11.0
2022-04-01,38.3,27.0,54.0,10.0
2022-05-01,36.1,27.0,61.0,12.0
2022-06-01,36.0,27.0,57.0,11.0
2022-07-01,33.5,26.0,64.0,12.0
2022-08-01,33.6,26.0,65.0,11.0
2022-09-01,33.1,25.0,65.0,9.0
2022-10-01,31.1,24.0,72.0,10.0
2022-11-01,28.5,22.0,80.0,9.0
2022-12-01,28.3,22.0,81.0,10.0
2023-01-01,28.6,19.0,74.0,9.0
2023-02-01,32.0,19.0,59.0,10.0
2023-03-01,33.5,23.0,63.0,11.0
2023-04-01,34.7,27.0,62.0,11.0
2023-05-01,37.8,28.0,57.0,10.0
2023-06-01,37.3,28.0,53.0,12.0
2023-07-01,34.3,27.0,60.0,13.0
2023-08-01,35.3,27.0,60.0,11.0
2023-09-01,34.2,26.0,67.0,9.0
2023-10-01,33.7,25.0,66.0,9.0
2023-11-01,29.5,24.0,84.0,10.0
2023-12-01,27.6,22.0,83.0,12.0
2024-01-01,28.8,21.0,75.0,10.0
2024-02-01,32.3,22.0,66.0,11.0
2024-03-01,37.5,25.0,56.0,12.0
2024-04-01,41.0,28.0,44.0,13.0
2024-05-01,40.2,30.0,49.0,11.0
2024-06-01,36.6,28.0,60.0,12.0
2024-07-01,35.2,28.0,63.0,13.0
2024-08-01,35.5,28.0,65.0,11.0
2024-09-01,34.8,27.0,64.0,9.0
2024-10-01,33.2,26.0,72.0,9.0
2024-11-01,30.1,24.0,78.0,12.0
2024-12-01,29.0,24.0,81.0,11.0
2025-01-01,29.3,21.0,76.0,10.0
2025-02-01,33.1,21.0,65.0,9.0
2025-03-01,36.5,25.0,58.0,11.0
2025-04-01,38.5,28.0,54.0,12.0
2025-05-01,37.1,28.0,58.0,13.0
2025-06-01,36.8,28.0,53.0,14.0
2025-07-01,35.2,27.0,57.0,12.0
2025-08-01,33.3,26.0,69.0,9.0
2025-09-01,33.7,26.0,67.0,9.0
2025-10-01,32.3,25.0,76.0,8.0
2025-11-01,29.3,23.5,81.7,9.7
2025-12-01,28.6,22.2,79.3,10.3
