location,year,month,year_month,prcp_min,prcp_max,prcp_avg,wspd_min,wspd_max,wspd_avg,wdir_min,wdir_max,wdir_avg,pres_min,pres_max,pres_avg,tsun_min,tsun_max,tsun_avg,coco_min,coco_max,coco_avg
Bangalore,2019,4,2019-04,,,,0.0,46.4,10.715181058495821,0.0,330.0,161.5204678362573,,,,,,,,,
Bangalore,2019,5,2019-05,,,,0.0,40.7,12.634782608695653,0.0,360.0,245.7654723127036,,,,,,,,,
Bangalore,2019,6,2019-06,,,,1.8,40.7,19.43774373259053,40.0,330.0,258.5147058823529,,,,,,,,,
Bangalore,2019,7,2019-07,,,,3.6,44.6,22.617910447761197,200.0,330.0,262.7945205479452,,,,,,,,,
Bangalore,2019,8,2019-08,,,,1.8,48.2,22.293243243243243,200.0,330.0,266.5706447187929,,,,,,,,,
Bangalore,2019,9,2019-09,,,,0.0,40.7,16.247464788732394,0.0,330.0,243.1846153846154,,,,,,,,,
Bangalore,2019,10,2019-10,,,,0.0,27.7,9.51263586956522,0.0,350.0,149.5825771324864,,,,,,,,,
Bangalore,2019,11,2019-11,,,,0.0,24.1,9.143216783216785,0.0,330.0,83.49907918968692,,,,,,,,,
Bangalore,2019,12,2019-12,,,,0.0,24.1,11.424932614555255,0.0,160.0,97.43939393939394,,,,,,,,,
Bangalore,2020,1,2020-01,,,,0.0,24.1,10.067028493894167,0.0,290.0,116.21890547263682,1012.0,1022.0,1017.473933649289,,,,5.0,5.0,5.0
Bangalore,2020,2,2020-02,,,,0.0,25.9,11.319252873563219,0.0,330.0,110.29159519725557,1012.0,1023.0,1017.7485632183908,,,,5.0,5.0,5.0
Bangalore,2020,3,2020-03,,,,0.0,29.5,10.899327956989247,0.0,330.0,139.3570219966159,1011.0,1020.0,1015.9016172506739,,,,5.0,25.0,5.714285714285714
Bangalore,2020,4,2020-04,,,,0.0,33.5,10.582777777777778,0.0,350.0,157.34982332155477,1011.0,1020.0,1015.4098591549296,,,,5.0,25.0,11.13888888888889
Bangalore,2020,5,2020-05,,,,0.0,33.5,11.81989247311828,0.0,360.0,210.71942446043167,1007.0,1017.0,1012.5913669064748,,,,5.0,25.0,18.122448979591837
Bangalore,2020,6,2020-06,,,,0.0,41.0,18.144211994421198,0.0,330.0,256.3096960926194,1007.0,1016.0,1011.312324929972,,,,5.0,25.0,8.833333333333334
Bangalore,2020,7,2020-07,,,,0.0,33.5,15.197173620457605,0.0,340.0,249.50071326676178,1007.0,1016.0,1011.0122282608696,,,,5.0,25.0,8.96116504854369
Bangalore,2020,8,2020-08,,,,0.0,44.6,18.07563930013459,0.0,330.0,261.77464788732397,1004.0,1016.0,1011.439393939394,,,,5.0,25.0,8.663636363636364
Bangalore,2020,9,2020-09,,,,0.0,38.9,13.902240896358544,0.0,340.0,239.61844197138313,1007.0,1016.0,1011.7988587731812,,,,5.0,26.0,8.145077720207254
Bangalore,2020,10,2020-10,,,,0.0,31.7,9.097547683923706,0.0,340.0,196.55430711610487,1006.0,1018.0,1012.5704125177809,,,,5.0,26.0,6.317180616740088
Bangalore,2020,11,2020-11,,,,0.0,22.3,8.959999999999999,0.0,330.0,79.65163934426229,1011.0,1021.0,1016.4397759103641,,,,5.0,25.0,5.424148606811145
Bangalore,2020,12,2020-12,,,,0.0,25.9,9.067833109017496,0.0,150.0,76.34862385321101,1012.0,1021.0,1016.6788124156545,,,,5.0,8.0,5.228395061728395
