location,year,month,year_month,prcp_min,prcp_max,prcp_avg,wspd_min,wspd_max,wspd_avg,wdir_min,wdir_max,wdir_avg,pres_min,pres_max,pres_avg,tsun_min,tsun_max,tsun_avg,coco_min,coco_max,coco_avg
Cochin,2020,1,2020-01,,,,0.0,24.0,7.716666666666667,10.0,360.0,161.96374622356495,1006.0,1014.0,1010.8595238095238,,,,5.0,5.0,5.0
Cochin,2020,2,2020-02,,,,0.0,24.0,7.5482014388489205,10.0,360.0,164.5179584120983,1005.0,1015.0,1010.956834532374,,,,5.0,5.0,5.0
Cochin,2020,3,2020-03,,,,0.0,28.0,8.696356275303645,10.0,360.0,194.00690846286702,1005.0,1014.0,1009.889338731444,,,,5.0,25.0,5.134868421052632
Cochin,2020,4,2020-04,,,,0.0,35.0,8.106038291605302,10.0,350.0,181.14624505928853,1005.0,1014.0,1009.5204678362574,,,,5.0,26.0,5.957486136783734
Cochin,2020,5,2020-05,,,,0.0,33.0,7.065967016491754,20.0,360.0,193.20574162679426,1002.0,1012.0,1007.4197901049475,,,,5.0,26.0,6.681063122923588
Cochin,2020,6,2020-06,,,,0.0,33.0,6.660056657223796,10.0,360.0,182.26107226107226,1004.0,1013.0,1007.6373937677054,,,,5.0,25.0,5.675324675324675
Cochin,2020,7,2020-07,,,,0.0,28.0,7.17574931880109,20.0,350.0,195.65677966101694,1004.0,1012.0,1007.2316076294278,,,,5.0,25.0,5.624413145539906
Cochin,2020,8,2020-08,,,,0.0,30.0,7.71763085399449,10.0,360.0,227.94642857142858,1004.0,1012.0,1008.1019283746557,,,,5.0,25.0,5.440251572327044
Cochin,2020,9,2020-09,,,,0.0,56.0,7.657223796033994,20.0,360.0,172.63779527559055,1003.0,1012.0,1008.2167138810198,,,,5.0,25.0,5.829268292682927
Cochin,2020,10,2020-10,,,,0.0,28.0,7.108416547788873,30.0,360.0,198.0793319415449,1003.0,1012.0,1008.2767475035663,,,,5.0,25.0,5.359589041095891
Cochin,2020,11,2020-11,,,,0.0,24.0,5.561527581329561,10.0,360.0,158.4331797235023,1003.0,1013.0,1009.3932107496464,,,,5.0,25.0,5.587646076794658
Cochin,2020,12,2020-12,,,,0.0,22.0,5.686827956989247,10.0,360.0,136.08050847457628,1004.0,1013.0,1009.5201612903226,,,,5.0,25.0,5.2453125
Cochin,2021,1,2021-01,0.0,20.4,0.22739916550764952,0.0,22.0,7.041801075268817,1.0,360.0,143.8070652173913,1003.0,1014.0,1009.2267473118279,,,,5.0,26.0,5.381426202321725
Cochin,2021,2,2021-02,0.0,1.1,0.03764880952380952,0.0,20.0,6.584821428571429,5.0,360.0,161.01785714285714,1005.0,1014.0,1010.2938988095239,,,,5.0,5.0,5.0
Cochin,2021,3,2021-03,0.0,3.1,0.08561827956989247,0.0,28.0,6.376881720430107,6.0,356.0,172.7284946236559,1003.2,1014.0,1009.5505376344086,,,,5.0,7.0,5.012631578947368
