Date,Max_Temp,Min_Temp,Humidity,Wind_Speed
2021-01-01,32.6,24.0,71.0,7.0
2021-02-01,33.1,23.0,66.0,8.0
2021-03-01,33.7,25.0,74.0,8.0
2021-04-01,33.2,25.0,73.0,9.0
2021-05-01,31.5,25.0,82.0,9.0
2021-06-01,29.3,24.0,85.0,8.0
2021-07-01,28.1,24.0,89.0,6.0
2021-08-01,28.5,24.0,88.0,5.0
2021-09-01,29.1,24.0,86.0,5.0
2021-10-01,30.1,24.0,84.0,4.0
2021-11-01,30.6,24.0,81.0,4.0
2021-12-01,32.0,23.0,71.0,4.0
2022-01-01,31.8,22.0,66.0,5.0
2022-02-01,32.2,23.0,69.0,7.0
2022-03-01,33.2,24.0,70.0,8.0
2022-04-01,33.3,25.0,73.0,9.0
2022-05-01,30.6,25.0,80.0,8.0
2022-06-01,29.6,24.0,85.0,8.0
2022-07-01,28.0,24.0,88.0,11.0
2022-08-01,28.1,24.0,87.0,11.0
2022-09-01,29.1,24.0,84.0,8.0
2022-10-01,30.5,24.0,79.0,7.0
2022-11-01,31.8,24.0,73.0,6.0
2022-12-01,32.1,23.0,69.0,7.0
2023-01-01,32.5,22.0,64.0,9.0
2023-02-01,33.3,23.0,67.0,8.0
2023-03-01,34.2,23.0,61.0,9.0
2023-04-01,33.7,25.0,69.0,9.0
2023-05-01,34.0,26.0,71.0,10.0
2023-06-01,30.8,25.0,84.0,9.0
2023-07-01,27.5,24.0,92.0,10.0
2023-08-01,29.8,25.0,84.0,9.0
2023-09-01,29.3,24.0,88.0,8.0
2023-10-01,31.3,25.0,84.0,7.0
2023-11-01,32.2,25.0,79.0,6.0
2023-12-01,32.5,24.0,74.0,7.0
2024-01-01,31.1,23.0,74.0,7.0
2024-02-01,32.7,23.0,72.0,8.0
2024-03-01,32.3,25.0,74.0,9.0
2024-04-01,33.2,26.0,76.0,9.0
2024-05-01,31.8,26.0,80.0,9.0
2024-06-01,28.8,24.0,92.0,8.0
2024-07-01,27.0,23.0,96.0,10.0
2024-08-01,28.3,24.0,92.0,9.0
2024-09-01,28.8,24.0,85.0,8.0
2024-10-01,30.0,24.0,83.0,7.0
2024-11-01,31.8,24.0,73.0,7.0
2024-12-01,30.6,23.0,73.0,7.0
2025-01-01,31.6,22.0,66.0,7.0
2025-02-01,32.7,23.0,67.0,8.0
2025-03-01,32.2,25.0,71.0,9.0
2025-04-01,32.1,24.0,73.0,9.0
2025-05-01,30.3,25.0,79.0,10.0
2025-06-01,28.6,24.0,89.0,9.0
2025-07-01,26.6,23.0,92.0,9.0
2025-08-01,27.0,23.0,91.0,8.0
2025-09-01,28.1,23.0,89.0,8.0
2025-10-01,29.8,24.0,85.0,7.0
2025-11-01,31.8,23.8,75.7,6.0
2025-12-01,32.0,23.1,71.1,6.3
