Date,Max_Temp,Min_Temp,Humidity,Wind_Speed
2021-01-01,32.7,23.0,75.0,7.0
2021-02-01,34.1,23.0,68.0,6.0
2021-03-01,34.7,24.0,74.0,6.0
2021-04-01,33.3,25.0,78.0,7.0
2021-05-01,31.8,25.0,85.0,7.0
2021-06-01,31.1,24.0,85.0,8.0
2021-07-01,29.8,24.0,88.0,8.0
2021-08-01,29.6,24.0,87.0,7.0
2021-09-01,29.8,24.0,87.0,7.0
2021-10-01,30.1,24.0,90.0,6.0
2021-11-01,30.1,23.0,88.0,6.0
2021-12-01,32.2,22.0,78.0,6.0
2022-01-01,32.5,22.0,75.0,7.0
2022-02-01,33.2,23.0,76.0,7.0
2022-03-01,33.1,23.0,77.0,7.0
2022-04-01,32.3,24.0,86.0,7.0
2022-05-01,30.1,24.0,90.0,7.0
2022-06-01,30.8,24.0,87.0,8.0
2022-07-01,29.3,24.0,90.0,9.0
2022-08-01,29.3,24.0,88.0,10.0
2022-09-01,30.6,24.0,86.0,8.0
2022-10-01,31.3,24.0,85.0,7.0
2022-11-01,32.2,24.0,85.0,6.0
2022-12-01,32.7,23.0,81.0,5.0
2023-01-01,33.1,22.0,73.0,5.0
2023-02-01,34.6,23.0,73.0,6.0
2023-03-01,35.5,24.0,71.0,6.0
2023-04-01,35.1,26.0,76.0,7.0
2023-05-01,34.0,26.0,80.0,7.0
2023-06-01,31.5,25.0,86.0,7.0
2023-07-01,30.1,24.0,88.0,8.0
2023-08-01,32.2,25.0,79.0,9.0
2023-09-01,30.3,24.0,88.0,6.0
2023-10-01,32.2,24.0,84.0,6.0
2023-11-01,33.2,25.0,82.0,5.0
2023-12-01,33.6,24.0,76.0,6.0
2024-01-01,33.7,23.0,74.0,6.0
2024-02-01,35.3,24.0,70.0,6.0
2024-03-01,35.7,26.0,73.0,7.0
2024-04-01,36.2,27.0,75.0,7.0
2024-05-01,33.2,25.0,83.0,7.0
2024-06-01,30.8,25.0,87.0,6.0
2024-07-01,29.3,24.0,89.0,6.0
2024-08-01,30.3,24.0,86.0,6.0
2024-09-01,31.1,24.0,83.0,7.0
2024-10-01,31.1,24.0,84.0,5.0
2024-11-01,32.1,24.0,82.0,5.0
2024-12-01,31.6,23.0,80.0,5.0
2025-01-01,33.2,22.0,68.0,5.0
2025-02-01,34.2,23.0,70.0,6.0
2025-03-01,34.5,25.0,76.0,7.0
2025-04-01,33.6,25.0,79.0,7.0
2025-05-01,31.6,24.0,84.0,8.0
2025-06-01,30.1,24.0,89.0,7.0
2025-07-01,29.0,24.0,90.0,7.0
2025-08-01,29.3,24.0,87.0,7.0
2025-09-01,30.6,24.0,85.0,7.0
2025-10-01,31.6,24.0,83.0,6.0
2025-11-01,32.2,23.8,83.2,5.4
2025-12-01,32.5,23.1,78.2,5.5
