location,year,month,year_month,prcp_min,prcp_max,prcp_avg,wspd_min,wspd_max,wspd_avg,wdir_min,wdir_max,wdir_avg,pres_min,pres_max,pres_avg,tsun_min,tsun_max,tsun_avg,coco_min,coco_max,coco_avg
Secunderabad,2019,4,2019-04,,,,0.0,29.5,11.06690340909091,0.0,360.0,168.53582554517135,,,,,,,,,
Secunderabad,2019,5,2019-05,,,,0.0,27.7,12.04942857142857,0.0,360.0,191.6153846153846,,,,,,,,,
Secunderabad,2019,6,2019-06,,,,0.0,33.5,15.510846953937591,0.0,360.0,247.08270676691728,,,,,,,,,
Secunderabad,2019,7,2019-07,,,,0.0,33.5,16.680027548209367,0.0,350.0,256.4245810055866,,,,,,,,,
Secunderabad,2019,8,2019-08,,,,0.0,31.7,15.356734693877552,0.0,350.0,261.9862068965517,,,,,,,,,
Secunderabad,2019,9,2019-09,,,,0.0,31.7,12.116268656716418,0.0,360.0,227.23333333333332,,,,,,,,,
Secunderabad,2019,10,2019-10,,,,0.0,22.3,8.342428376534789,0.0,350.0,134.0771812080537,,,,,,,,,
Secunderabad,2019,11,2019-11,,,,0.0,18.4,8.217503586800575,0.0,350.0,104.40894568690096,,,,,,,,,
Secunderabad,2019,12,2019-12,,,,0.0,16.6,8.427197802197803,0.0,250.0,110.49204052098408,,,,,,,,,
Secunderabad,2020,1,2020-01,,,,0.0,18.4,8.576616231086659,0.0,360.0,122.03840472673559,1012.0,1023.0,1016.4652278177458,,,,5.0,5.0,5.0
Secunderabad,2020,2,2020-02,,,,0.0,18.4,9.065606936416186,0.0,350.0,119.1904047976012,1012.0,1023.0,1016.8800578034682,,,,5.0,25.0,5.080645161290323
Secunderabad,2020,3,2020-03,,,,0.0,19.0,8.973002754820937,0.0,350.0,139.98533724340177,1010.0,1020.0,1014.3972413793103,,,,5.0,25.0,5.672064777327935
Secunderabad,2020,4,2020-04,,,,0.0,25.9,8.675591985428051,0.0,360.0,159.38661710037175,1008.0,1019.0,1013.3981481481482,,,,5.0,26.0,8.396039603960396
Secunderabad,2020,5,2020-05,,,,0.0,29.5,8.73719806763285,0.0,360.0,189.20353982300884,1002.0,1016.0,1009.8597972972973,,,,5.0,25.0,7.546875
Secunderabad,2020,6,2020-06,,,,0.0,22.3,10.233239831697055,0.0,350.0,241.90258751902587,933.0,1015.0,1007.7345505617977,,,,5.0,25.0,7.9363867684478375
Secunderabad,2020,7,2020-07,,,,0.0,22.3,9.298250336473755,0.0,340.0,238.202416918429,1003.0,1013.0,1007.9320652173913,,,,5.0,26.0,6.657681940700809
Secunderabad,2020,8,2020-08,,,,0.0,24.1,12.901902173913042,0.0,340.0,254.25591098748262,998.0,1014.0,1007.6819444444444,,,,5.0,26.0,6.391666666666667
Secunderabad,2020,9,2020-09,,,,0.0,22.3,10.268213783403658,0.0,360.0,233.04,1002.0,1014.0,1009.0687679083095,,,,5.0,26.0,7.067085953878407
