time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2020-01-14 10:00:00,29.0,17.8,51.0,,,70.0,9.0,,1010.0,,5.0
2020-01-14 11:00:00,29.0,17.8,51.0,,,60.0,9.0,,1010.0,,
2020-01-14 12:00:00,26.0,18.9,65.0,,,70.0,9.0,,1011.0,,
2020-01-14 13:00:00,25.0,18.9,69.0,,,60.0,11.0,,1012.0,,
2020-01-14 14:00:00,23.0,21.1,89.0,,,50.0,11.0,,1013.0,,
2020-01-15 00:00:00,18.0,17.0,94.0,,,,0.0,,1013.0,,5.0
2020-01-15 01:00:00,19.0,18.0,94.0,,,,0.0,,1013.0,,5.0
2020-01-15 02:00:00,19.0,17.0,88.0,,,,0.0,,1014.0,,5.0
2020-01-15 03:00:00,19.0,17.0,88.0,,,,6.0,,1015.0,,5.0
2020-01-15 04:00:00,21.0,17.0,78.0,,,,0.0,,1015.0,,5.0
2020-01-15 05:00:00,22.0,16.9,73.0,,,110.0,4.0,,1015.0,,5.0
2020-01-15 06:00:00,25.0,16.9,61.0,,,,4.0,,1014.0,,
2020-01-15 07:00:00,27.0,16.9,54.0,,,20.0,9.0,,1013.0,,
2020-01-15 08:00:00,28.0,16.9,51.0,,,60.0,11.0,,1012.0,,
2020-01-15 09:00:00,29.0,16.9,48.0,,,50.0,15.0,,1011.0,,
2020-01-15 10:00:00,29.0,16.9,48.0,,,50.0,11.0,,1011.0,,
2020-01-15 11:00:00,29.0,16.9,48.0,,,50.0,11.0,,1011.0,,
2020-01-15 12:00:00,27.0,18.0,58.0,,,70.0,11.0,,1011.0,,
2020-01-15 13:00:00,26.0,17.9,61.0,,,50.0,7.0,,1012.0,,
2020-01-15 14:00:00,25.0,18.9,69.0,,,50.0,11.0,,1013.0,,
2020-01-15 15:00:00,25.0,18.9,69.0,,,50.0,9.0,,1013.0,,
2020-01-16 00:00:00,19.0,18.0,94.0,,,270.0,6.0,,1013.0,,5.0
2020-01-16 01:00:00,19.0,18.0,94.0,,,230.0,6.0,,1014.0,,5.0
