location,year,month,year_month,prcp_min,prcp_max,prcp_avg,wspd_min,wspd_max,wspd_avg,wdir_min,wdir_max,wdir_avg,pres_min,pres_max,pres_avg,tsun_min,tsun_max,tsun_avg,coco_min,coco_max,coco_avg
Sricity,2020,1,2020-01,,,,0.0,22.0,9.31407942238267,20.0,320.0,118.29596412556054,1008.0,1019.0,1013.3357400722022,,,,5.0,5.0,5.0
Sricity,2020,2,2020-02,,,,0.0,24.0,10.383947939262473,10.0,330.0,96.69724770642202,1008.0,1019.0,1013.6399132321042,,,,5.0,5.0,5.0
Sricity,2020,3,2020-03,,,,0.0,130.0,11.182590233545648,10.0,350.0,145.18207282913164,1006.0,1016.0,1011.0148619957537,,,,5.0,5.0,5.0
Sricity,2020,4,2020-04,,,,0.0,37.0,11.74869109947644,10.0,330.0,180.2922077922078,1003.0,1016.0,1009.7460732984293,,,,5.0,25.0,8.7
Sricity,2020,5,2020-05,,,,0.0,28.0,11.423376623376623,10.0,360.0,176.7109634551495,996.0,1011.0,1005.1558441558442,,,,5.0,27.0,15.125
Sricity,2020,6,2020-06,,,,0.0,43.0,9.883449883449883,10.0,360.0,240.75539568345323,998.0,1009.0,1003.5337995337995,,,,7.0,25.0,16.0
Sricity,2020,7,2020-07,,,,0.0,33.0,8.861607142857142,20.0,360.0,239.19540229885058,1000.0,1010.0,1004.4821428571429,,,,5.0,25.0,18.9
Sricity,2020,8,2020-08,,,,0.0,37.0,8.283410138248849,10.0,360.0,243.48739495798318,997.0,1011.0,1004.7972350230415,,,,5.0,25.0,11.742857142857142
Sricity,2020,9,2020-09,,,,0.0,28.0,7.367149758454106,10.0,360.0,234.3939393939394,1000.0,1010.0,1005.231884057971,,,,5.0,25.0,12.333333333333334
Sricity,2020,10,2020-10,,,,0.0,28.0,7.4677804295942725,10.0,360.0,257.4786324786325,997.0,1012.0,1005.5584725536993,,,,5.0,26.0,6.866666666666666
Sricity,2020,11,2020-11,,,,0.0,33.0,8.446389496717725,10.0,360.0,80.14925373134328,999.0,1016.0,1011.3873085339169,,,,5.0,25.0,6.251572327044025
Sricity,2020,12,2020-12,,,,0.0,26.0,9.663883089770355,10.0,360.0,55.86705202312139,1007.0,1016.0,1012.2881002087682,,,,5.0,25.0,5.221153846153846
Sricity,2021,1,2021-01,0.0,25.3,0.16369958275382476,0.0,22.0,7.420572207084469,0.0,359.0,116.36401098901099,1007.0,1016.9,1012.0211171662125,,,,5.0,8.0,5.044843049327354
Sricity,2021,2,2021-02,0.0,1.7,0.019196428571428576,0.0,33.0,7.865625,0.0,360.0,142.15625,1006.0,1018.0,1012.8505952380953,,,,5.0,5.0,5.0
Sricity,2021,3,2021-03,0.0,0.0,0.0,0.0,24.0,8.185752688172043,1.0,358.0,157.6451612903226,999.8,1016.1,1010.6333333333333,,,,5.0,5.0,5.0
Sricity,2021,4,2021-04,0.0,4.5,0.01638888888888889,0.7,26.0,9.405833333333334,15.0,354.0,169.20833333333334,999.9,1014.0,1008.6395833333333,,,,5.0,5.0,5.0
Sricity,2021,5,2021-05,0.0,4.0,0.06559139784946237,0.4,32.0,8.770967741935484,9.0,360.0,208.50806451612902,998.0,1011.8,1005.7568548387098,,,,5.0,5.0,5.0
Sricity,2021,6,2021-06,0.0,4.5,0.07222222222222222,0.4,46.0,9.629027777777777,3.0,360.0,244.26805555555555,1000.0,1011.3,1005.5840277777778,,,,5.0,5.0,5.0
Sricity,2021,7,2021-07,0.0,13.3,0.20779569892473118,0.7,82.0,9.469354838709677,8.0,360.0,237.96370967741936,999.0,1010.1,1004.577688172043,,,,5.0,5.0,5.0
Sricity,2021,8,2021-08,0.0,4.5,0.23024193548387098,1.1,28.0,8.244086021505376,3.0,360.0,236.4731182795699,1000.0,1010.6,1005.9243279569891,,,,,,
