Date,Max_Temp,Min_Temp,Humidity,Wind_Speed
2021-01-01,29.3,18.0,77.0,8.0
2021-02-01,30.0,17.0,60.0,8.0
2021-03-01,35.2,20.0,47.0,7.0
2021-04-01,36.3,23.0,54.0,8.0
2021-05-01,35.6,25.0,69.0,10.0
2021-06-01,31.8,24.0,79.0,12.0
2021-07-01,29.6,23.0,85.0,11.0
2021-08-01,30.3,23.0,84.0,10.0
2021-09-01,29.3,22.0,85.0,13.0
2021-10-01,31.1,22.0,73.0,10.0
2021-11-01,28.1,21.0,80.0,10.0
2021-12-01,27.8,17.0,67.0,10.0
2022-01-01,27.8,17.0,66.0,11.0
2022-02-01,30.1,18.0,56.0,13.0
2022-03-01,34.8,22.0,46.0,11.0
2022-04-01,36.8,25.0,51.0,12.0
2022-05-01,36.0,25.0,54.0,14.0
2022-06-01,33.3,24.0,66.0,16.0
2022-07-01,27.8,22.0,87.0,18.0
2022-08-01,29.0,23.0,84.0,15.0
2022-09-01,29.1,22.0,83.0,14.0
2022-10-01,28.8,20.0,78.0,12.0
2022-11-01,28.6,18.0,68.0,11.0
2022-12-01,28.5,18.0,72.0,13.0
2023-01-01,28.6,15.0,67.0,12.0
2023-02-01,31.6,16.0,45.0,11.0
2023-03-01,32.5,20.0,52.0,12.0
2023-04-01,34.8,23.0,56.0,13.0
2023-05-01,34.8,25.0,57.0,13.0
2023-06-01,34.8,25.0,60.0,18.0
2023-07-01,28.1,23.0,83.0,20.0
2023-08-01,30.0,23.0,75.0,16.0
2023-09-01,29.1,23.0,84.0,15.0
2023-10-01,31.5,21.0,65.0,11.0
2023-11-01,29.1,20.0,74.0,12.0
2023-12-01,27.3,16.0,71.0,12.0
2024-01-01,29.1,18.0,66.0,12.0
2024-02-01,32.3,19.0,58.0,13.0
2024-03-01,35.2,23.0,51.0,12.0
2024-04-01,37.5,26.0,43.0,12.0
2024-05-01,36.8,25.0,57.0,14.0
2024-06-01,32.2,24.0,73.0,16.0
2024-07-01,28.6,23.0,82.0,21.0
2024-08-01,29.6,23.0,82.0,16.0
2024-09-01,29.1,22.0,84.0,16.0
2024-10-01,30.6,22.0,80.0,11.0
2024-11-01,29.3,18.0,68.0,10.0
2024-12-01,27.6,17.0,80.0,11.0
2025-01-01,29.1,16.0,64.0,11.0
2025-02-01,32.8,19.0,54.0,10.0
2025-03-01,35.0,21.0,46.0,12.0
2025-04-01,35.6,23.0,54.0,12.0
2025-05-01,33.3,24.0,66.0,15.0
2025-06-01,31.3,23.0,73.0,20.0
2025-07-01,28.8,23.0,81.0,21.0
2025-08-01,29.8,22.0,85.0,18.0
2025-09-01,28.3,22.0,85.0,15.0
2025-10-01,29.1,22.0,80.0,12.0
2025-11-01,28.8,19.0,73.5,10.6
2025-12-01,27.8,16.8,72.7,10.7
