time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2019-04-01 00:00:00,27.0,25.6,92.0,,,0.0,0.0,,1008.3,,5.0
2019-04-01 01:00:00,27.0,25.9,94.0,,,90.0,3.6,,1009.0,,5.0
2019-04-01 02:00:00,27.0,25.9,94.0,,,130.0,3.6,,1011.0,,5.0
2019-04-01 03:00:00,28.8,26.2,86.0,,,70.0,5.4,,1012.1,,5.0
2019-04-01 04:00:00,29.0,26.0,84.0,,,130.0,5.4,,1013.0,,5.0
2019-04-01 05:00:00,31.0,24.9,70.0,,,160.0,3.6,,1012.0,,5.0
2019-04-01 06:00:00,33.0,24.5,61.0,,,140.0,3.6,,1012.2,,5.0
2019-04-01 07:00:00,33.0,25.0,63.0,,,140.0,3.6,,1010.0,,5.0
2019-04-01 08:00:00,34.0,24.0,56.0,,,160.0,11.2,,1009.0,,
2019-04-01 09:00:00,38.0,18.4,32.0,,,170.0,5.4,,1008.0,,
2019-04-01 10:00:00,37.0,19.9,37.0,,,160.0,7.6,,1007.0,,
2019-04-01 11:00:00,36.0,19.8,39.0,,,170.0,9.4,,1007.0,,
2019-04-01 12:00:00,34.0,22.4,51.0,,,180.0,5.4,,1007.0,,
2019-04-01 13:00:00,31.0,23.9,66.0,,,160.0,5.4,,1008.0,,5.0
2019-04-01 14:00:00,29.0,23.9,74.0,,,170.0,5.4,,1008.0,,5.0
2019-04-01 15:00:00,28.6,25.0,81.0,,,170.0,5.4,,1009.8,,5.0
2019-04-01 16:00:00,28.0,25.0,84.0,,,170.0,5.4,,1010.0,,5.0
2019-04-01 18:00:00,27.0,24.6,87.0,,,0.0,0.0,,1010.2,,
2019-04-01 21:00:00,26.4,24.2,88.0,,,0.0,0.0,,1008.2,,
2019-04-02 00:00:00,25.4,23.8,91.0,,,0.0,0.0,,1009.3,,5.0
2019-04-02 01:00:00,26.0,24.0,89.0,,,0.0,0.0,,1010.0,,5.0
2019-04-02 02:00:00,26.0,25.0,94.0,,,150.0,5.4,,1011.0,,5.0
2019-04-02 03:00:00,30.0,24.8,74.0,,,160.0,5.4,,1011.7,,
2019-04-02 04:00:00,33.0,23.0,56.0,,,210.0,11.2,,1013.0,,
2019-04-02 05:00:00,34.0,22.1,50.0,,,260.0,7.6,,1012.0,,
2019-04-02 06:00:00,34.6,22.6,50.0,,,270.0,5.4,,1011.2,,
2019-04-02 07:00:00,36.0,21.8,44.0,,,170.0,9.4,,1010.0,,
2019-04-02 08:00:00,36.0,21.8,44.0,,,170.0,9.4,,1009.0,,
2019-04-02 09:00:00,36.6,22.0,43.0,,,180.0,5.4,,1008.0,,
2019-04-02 10:00:00,37.0,23.1,45.0,,,180.0,3.6,,1007.0,,
2019-04-02 11:00:00,36.0,19.8,39.0,,,180.0,3.6,,1007.0,,
2019-04-02 12:00:00,33.6,15.1,33.0,,,160.0,5.4,,1007.5,,
2019-04-02 13:00:00,32.0,20.9,52.0,,,180.0,3.6,,1008.0,,5.0
2019-04-02 14:00:00,31.0,22.8,62.0,,,110.0,3.6,,1008.0,,5.0
2019-04-02 15:00:00,28.0,22.0,70.0,,,0.0,0.0,,1009.3,,5.0
2019-04-02 16:00:00,27.0,23.0,79.0,,,0.0,0.0,,1010.0,,5.0
2019-04-02 17:00:00,26.0,24.0,89.0,,,0.0,0.0,,1010.0,,5.0
2019-04-02 18:00:00,26.0,22.7,82.0,,,0.0,0.0,,1009.7,,
2019-04-02 21:00:00,25.0,22.9,88.0,,,0.0,0.0,,1007.6,,
2019-04-03 00:00:00,26.0,24.2,90.0,,,70.0,3.6,,1008.8,,5.0
2019-04-03 01:00:00,27.0,24.1,84.0,,,110.0,3.6,,1010.0,,5.0
2019-04-03 02:00:00,26.0,25.0,94.0,,,100.0,5.4,,1011.0,,5.0
2019-04-03 03:00:00,29.4,24.7,76.0,,,90.0,3.6,,1011.6,,5.0
2019-04-03 04:00:00,30.0,25.1,75.0,,,140.0,3.6,,1012.0,,5.0
2019-04-03 05:00:00,34.0,24.0,56.0,,,140.0,5.4,,1012.0,,5.0
2019-04-03 06:00:00,34.8,22.8,50.0,,,110.0,3.6,,1011.8,,
2019-04-03 07:00:00,36.0,22.9,47.0,,,150.0,9.4,,1010.0,,
2019-04-03 08:00:00,36.0,21.8,44.0,,,210.0,5.4,,1009.0,,
2019-04-03 09:00:00,36.2,22.7,46.0,,,180.0,7.6,,1008.2,,
2019-04-03 10:00:00,37.0,23.1,45.0,,,200.0,5.4,,1007.0,,
2019-04-03 11:00:00,36.0,21.0,42.0,,,200.0,7.6,,1007.0,,
2019-04-03 12:00:00,33.4,21.9,51.0,,,200.0,5.4,,1007.9,,
2019-04-03 13:00:00,32.0,20.9,52.0,,,200.0,5.4,,1009.0,,5.0
2019-04-03 14:00:00,30.0,21.9,62.0,,,160.0,9.4,,1010.0,,5.0
2019-04-03 15:00:00,28.0,22.9,74.0,,,160.0,5.4,,1010.8,,5.0
2019-04-03 16:00:00,27.0,24.1,84.0,,,0.0,0.0,,1011.0,,5.0
2019-04-03 17:00:00,27.0,24.1,84.0,,,0.0,0.0,,1011.0,,5.0
2019-04-03 18:00:00,26.0,23.3,85.0,,,0.0,0.0,,1011.2,,
2019-04-03 21:00:00,25.4,23.3,88.0,,,0.0,0.0,,1010.2,,
2019-04-04 00:00:00,24.8,23.2,91.0,,,0.0,0.0,,1010.3,,5.0
2019-04-04 01:00:00,25.0,23.1,89.0,,,0.0,0.0,,1011.0,,5.0
2019-04-04 02:00:00,26.0,25.0,94.0,,,0.0,0.0,,1012.0,,5.0
2019-04-04 03:00:00,29.0,24.5,77.0,,,140.0,3.6,,1013.6,,
2019-04-04 04:00:00,30.0,25.1,75.0,,,220.0,5.4,,1014.0,,
2019-04-04 05:00:00,33.0,23.9,59.0,,,210.0,7.6,,1013.0,,
2019-04-04 06:00:00,35.2,22.2,47.0,,,230.0,5.4,,1012.5,,
