location,year,month,year_month,prcp_min,prcp_max,prcp_avg,wspd_min,wspd_max,wspd_avg,wdir_min,wdir_max,wdir_avg,pres_min,pres_max,pres_avg,tsun_min,tsun_max,tsun_avg,coco_min,coco_max,coco_avg
Vijaywada,2019,4,2019-04,,,,0.0,46.4,4.860585197934595,0.0,360.0,138.12392426850258,1000.0,1014.0,1008.0530755711774,,,,5.0,25.0,5.077519379844961
Vijaywada,2019,5,2019-05,,,,0.0,64.8,5.624422442244225,0.0,360.0,144.77685950413223,997.0,1010.0,1004.6991610738254,,,,5.0,25.0,5.151943462897527
Vijaywada,2019,6,2019-06,,,,0.0,37.1,7.515951972555746,0.0,360.0,176.28865979381445,997.0,1006.2,1002.1783595113437,,,,0.0,26.0,6.369565217391305
Vijaywada,2019,7,2019-07,,,,0.0,74.2,6.953010033444816,0.0,360.0,182.2742474916388,997.9,1009.0,1002.7504273504273,,,,0.0,25.0,5.938967136150235
Vijaywada,2019,8,2019-08,,,,0.0,46.4,7.303814262023217,0.0,360.0,199.28689883913765,996.0,1007.3,1002.960606060606,,,,0.0,25.0,6.20873786407767
Vijaywada,2019,9,2019-09,,,,0.0,18.4,4.679500891265596,0.0,360.0,140.67736185383245,999.0,1016.0,1006.1608058608059,,,,0.0,25.0,5.439114391143911
Vijaywada,2019,10,2019-10,,,,0.0,27.7,4.224592833876222,0.0,360.0,86.53094462540717,1003.0,1014.1,1010.0639398998329,,,,0.0,26.0,6.101492537313433
Vijaywada,2019,11,2019-11,,,,0.0,20.5,4.3054329371816635,0.0,360.0,73.31632653061224,1005.0,1016.6,1011.8100694444444,,,,5.0,5.0,5.0
Vijaywada,2019,12,2019-12,,,,0.0,22.3,5.476885245901639,0.0,350.0,66.24590163934427,1010.0,1018.3,1014.1098169717138,,,,5.0,5.0,5.0
Vijaywada,2020,1,2020-01,,,,0.0,20.5,4.689162561576355,0.0,360.0,81.13486842105263,1009.0,1019.3,1013.8568106312293,,,,0.0,25.0,5.008492569002123
Vijaywada,2020,2,2020-02,,,,0.0,14.8,4.899652777777778,0.0,360.0,95.74652777777777,1009.0,1019.4,1014.0203124999999,,,,5.0,7.0,5.010695187165775
Vijaywada,2020,3,2020-03,,,,0.0,14.8,3.936619718309859,0.0,360.0,123.58156028368795,1006.0,1016.0,1011.1163410301954,,,,5.0,7.0,5.0091324200913245
Vijaywada,2020,4,2020-04,,,,0.0,16.6,3.420689655172414,0.0,360.0,132.44837758112095,1004.0,1014.6,1009.6813218390804,,,,5.0,7.0,5.333333333333333
Vijaywada,2020,5,2020-05,,,,0.0,37.1,4.100238095238096,0.0,360.0,122.29268292682927,995.2,1011.0,1005.0136363636362,,,,5.0,25.0,5.9523809523809526
Vijaywada,2020,6,2020-06,,,,0.0,37.1,6.931159420289855,0.0,350.0,171.25226860254082,997.0,1010.0,1002.5214285714287,,,,5.0,25.0,9.781512605042018
Vijaywada,2020,7,2020-07,,,,0.0,55.4,7.903124999999999,0.0,360.0,167.84722222222223,998.0,1009.0,1003.3187390542907,,,,5.0,25.0,7.169811320754717
Vijaywada,2020,8,2020-08,,,,0.0,37.1,9.00552677029361,0.0,360.0,192.1280276816609,993.0,1009.3,1002.9459507042254,,,,5.0,25.0,6.95
Vijaywada,2020,9,2020-09,,,,0.0,37.1,7.292057761732853,0.0,360.0,153.19494584837545,997.0,1009.0,1004.1618874773139,,,,5.0,25.0,6.85
Vijaywada,2020,10,2020-10,,,,0.0,27.7,5.214259927797834,0.0,360.0,152.33695652173913,996.0,1012.6,1005.292138939671,,,,5.0,26.0,6.260744985673353
Vijaywada,2020,11,2020-11,,,,0.0,37.1,8.354833040421791,0.0,360.0,87.42957746478874,1007.9,1016.4,1012.1546902654868,,,,5.0,25.0,5.31858407079646
Vijaywada,2020,12,2020-12,,,,0.0,27.7,6.744596912521441,0.0,360.0,71.3573883161512,1008.8,1018.0,1013.2419243986255,,,,5.0,5.0,5.0
Vijaywada,2021,1,2021-01,0.0,0.2,0.0017881705639614855,0.0,27.7,5.695161290322581,0.0,360.0,92.75537634408602,1007.0,1017.0,1012.3345430107527,,,,5.0,5.0,5.0
Vijaywada,2021,2,2021-02,0.0,0.1,0.00044642857142857147,0.0,37.0,6.152678571428572,0.0,360.0,111.09077380952381,1006.0,1019.0,1012.934375,,,,5.0,5.0,5.0
Vijaywada,2021,3,2021-03,0.0,0.1,0.00026881720430107527,0.0,20.5,5.676075268817204,0.0,360.0,158.23924731182797,999.2,1016.1,1010.3427419354839,,,,5.0,5.0,5.0
