"Month","Average","2025","2024","2023","2022","2021"
"January","29.4","29.3","28.8","28.6","30.0","29.3"
"February","32.2","33.1","32.3","32.0","32.0","31.3"
"March","35.9","36.5","37.5","33.5","35.7","36.1"
"April","38.2","38.5","41.0","34.7","38.3","37.6"
"May","38.0","37.1","40.2","37.8","36.1","36.7"
"June","36.7","36.8","36.6","37.3","36.0","36.2"
"July","34.5","35.2","35.2","34.3","33.5","35.1"
"August","34.2","33.3","35.5","35.3","33.6","34.1"
"September","33.7","33.7","34.8","34.2","33.1","34.2"
"October","32.6","32.3","33.2","33.7","31.1","32.7"
"November","29.3","-","30.1","29.5","28.5","28.6"
"December","28.6","-","29.0","27.6","28.3","29.6"
"**Average**","**33.7**","**34.7**","**34.4**","**33.0**","**33.0**","**33.5**"
