"Month","Average","2025","2024","2023","2022","2021"
"January","20.9","21","21","19","22","22"
"February","20.6","21","22","19","21","20"
"March","23.8","25","25","23","24","23"
"April","27.2","28","28","27","27","27"
"May","28.2","28","30","28","27","29"
"June","28.0","28","28","28","27","28"
"July","26.9","27","28","27","26","28"
"August","26.4","26","28","27","26","27"
"September","26.1","26","27","26","25","27"
"October","25.1","25","26","25","24","26"
"November","23.5","-","24","24","22","25"
"December","22.2","-","24","22","22","22"
"**Average**","**25.0**","**25.3**","**25.8**","**24.3**","**24.5**","**25.1**"
