"Month","Average","2025","2024","2023","2022","2021"
"January","9.2","10","10","9","10","8"
"February","9.9","9","11","10","11","9"
"March","10.7","11","12","11","11","9"
"April","11.1","12","13","11","10","9"
"May","11.1","13","11","10","12","8"
"June","11.3","14","12","12","11","9"
"July","11.2","12","13","13","12","9"
"August","9.7","9","11","11","11","8"
"September","8.5","9","9","9","9","8"
"October","8.6","8","9","9","10","8"
"November","9.7","-","12","10","9","9"
"December","10.3","-","11","12","10","9"
"**Average**","**10.1**","**10.7**","**11.0**","**10.6**","**10.5**","**8.6**"
