"Month","Average","2025","2024","2023","2022","2021"
"January","68.4","66","74","64","66","71"
"February","68.1","67","72","67","69","66"
"March","69.4","71","74","61","70","74"
"April","72.0","73","76","69","73","73"
"May","77.5","79","80","71","80","82"
"June","87.0","89","92","84","85","85"
"July","90.6","92","96","92","88","89"
"August","88.2","91","92","84","87","88"
"September","86.5","89","85","88","84","86"
"October","82.9","85","83","84","79","84"
"November","75.7","-","73","79","73","81"
"December","71.1","-","73","74","69","71"
"**Average**","**78.4**","**79.8**","**80.7**","**76.7**","**77.0**","**79.1**"
