"Month","Average","2025","2024","2023","2022","2021"
"January","32.0","31.6","31.1","32.5","31.8","32.6"
"February","32.9","32.7","32.7","33.3","32.2","33.1"
"March","33.2","32.2","32.3","34.2","33.2","33.7"
"April","33.3","32.1","33.2","33.7","33.3","33.2"
"May","32.0","30.3","31.8","34.0","30.6","31.5"
"June","29.4","28.6","28.8","30.8","29.6","29.3"
"July","27.7","26.6","27.0","27.5","28.0","28.1"
"August","28.3","27.0","28.3","29.8","28.1","28.5"
"September","28.8","28.1","28.8","29.3","29.1","29.1"
"October","30.2","29.8","30.0","31.3","30.5","30.1"
"November","31.8","-","31.8","32.2","31.8","30.6"
"December","32.0","-","30.6","32.5","32.1","32.0"
"**Average**","**30.9**","**29.9**","**30.5**","**31.7**","**30.8**","**31.0**"
