"Month","Average","2025","2024","2023","2022","2021"
"January","22.4","22","23","22","22","24"
"February","23.0","23","23","23","23","23"
"March","24.5","25","25","23","24","25"
"April","25.3","24","26","25","25","25"
"May","25.2","25","26","26","25","25"
"June","24.0","24","24","25","24","24"
"July","23.6","23","23","24","24","24"
"August","23.8","23","24","25","24","24"
"September","23.8","23","24","24","24","24"
"October","23.8","24","24","25","24","24"
"November","23.8","-","24","25","24","24"
"December","23.1","-","23","24","23","23"
"**Average**","**23.9**","**23.5**","**24.0**","**24.1**","**23.5**","**23.9**"
