"Month","Average","2025","2024","2023","2022","2021"
"January","72.7","68","74","73","75","75"
"February","70.7","70","70","73","76","68"
"March","73.6","76","73","71","77","74"
"April","78.6","79","75","76","86","78"
"May","83.9","84","83","80","90","85"
"June","86.7","89","87","86","87","85"
"July","88.4","90","89","88","90","88"
"August","85.7","87","86","79","88","87"
"September","86.6","85","83","88","86","87"
"October","85.0","83","84","84","85","90"
"November","83.2","-","82","82","85","88"
"December","78.2","-","80","76","81","78"
"**Average**","**81.1**","**81.2**","**80.3**","**79.7**","**83.9**","**81.8**"
