"Month","Average","2025","2024","2023","2022","2021"
"January","22.5","22","23","22","22","23"
"February","23.2","23","24","23","23","23"
"March","24.7","25","26","24","23","24"
"April","25.2","25","27","26","24","25"
"May","25.0","24","25","26","24","25"
"June","24.3","24","25","25","24","24"
"July","23.9","24","24","24","24","24"
"August","24.1","24","24","25","24","24"
"September","24.0","24","24","24","24","24"
"October","24.0","24","24","24","24","24"
"November","23.8","-","24","25","24","23"
"December","23.1","-","23","24","23","22"
"**Average**","**24.0**","**23.8**","**24.4**","**24.3**","**23.4**","**23.6**"
