"Month","Average","2025","2024","2023","2022","2021"
"January","6.3","5","6","5","7","7"
"February","6.3","6","6","6","7","6"
"March","7.0","7","7","6","7","6"
"April","7.1","7","7","7","7","7"
"May","7.2","8","7","7","7","7"
"June","6.9","7","6","7","8","8"
"July","7.5","7","6","8","9","8"
"August","7.9","7","6","9","10","7"
"September","7.1","7","7","6","8","7"
"October","6.2","6","5","6","7","6"
"November","5.4","-","5","5","6","6"
"December","5.5","-","5","6","5","6"
"**Average**","**6.7**","**6.7**","**6.1**","**6.5**","**7.2**","**6.7**"
