"Month","Average","2025","2024","2023","2022","2021"
"January","16.8","16","18","15","17","18"
"February","17.7","19","19","16","18","17"
"March","21.0","21","23","20","22","20"
"April","24.1","23","26","23","25","23"
"May","25.0","24","25","25","25","25"
"June","23.9","23","24","25","24","24"
"July","22.7","23","23","23","22","23"
"August","22.5","22","23","23","23","23"
"September","22.4","22","22","23","22","22"
"October","21.0","22","22","21","20","22"
"November","19.0","-","18","20","18","21"
"December","16.8","-","17","16","18","17"
"**Average**","**21.2**","**21.3**","**21.6**","**20.8**","**21.1**","**21.1**"
