"Month","Average","2025","2024","2023","2022","2021"
"January","10.4","11","12","12","11","8"
"February","10.7","10","13","11","13","8"
"March","10.5","12","12","12","11","7"
"April","10.9","12","12","13","12","8"
"May","12.5","15","14","13","14","10"
"June","15.2","20","16","18","16","12"
"July","16.5","21","21","20","18","11"
"August","14.6","18","16","16","15","10"
"September","13.7","15","16","15","14","13"
"October","10.6","12","11","11","12","10"
"November","10.6","-","10","12","11","10"
"December","10.7","-","11","12","13","10"
"**Average**","**12.4**","**14.8**","**13.5**","**13.7**","**13.2**","**9.7**"
