"Month","Average","2025","2024","2023","2022","2021"
"January","29.9","29.1","29.6","30.1","30.5","29.8"
"February","31.2","31.5","31.6","31.6","31.3","30.3"
"March","33.2","33.3","33.2","32.6","34.7","33.1"
"April","35.2","34.8","36.0","35.3","35.7","34.7"
"May","36.4","35.7","36.5","36.7","36.7","35.3"
"June","36.5","36.5","35.5","37.0","36.3","36.3"
"July","34.5","35.7","34.2","34.2","34.1","34.8"
"August","34.5","34.7","34.2","35.6","34.2","34.6"
"September","34.0","33.7","34.7","34.3","34.2","34.5"
"October","32.7","32.2","32.6","33.0","32.5","33.2"
"November","29.9","-","29.8","30.0","29.5","29.1"
"December","29.8","-","29.3","29.1","29.6","30.8"
"**Average**","**33.3**","**33.8**","**33.1**","**33.3**","**33.3**","**33.0**"
