"Month","Average","2025","2024","2023","2022","2021"
"January","23.2","23","24","23","24","23"
"February","23.2","24","25","23","24","21"
"March","25.2","26","26","25","26","24"
"April","27.6","28","28","28","28","27"
"May","28.1","28","30","28","27","27"
"June","28.1","28","27","28","28","28"
"July","27.2","28","27","28","27","27"
"August","26.8","26","27","27","27","27"
"September","26.6","27","27","26","28","27"
"October","26.2","26","27","27","26","27"
"November","24.8","-","25","25","24","25"
"December","24.1","-","25","24","24","24"
"**Average**","**26.0**","**26.4**","**26.4**","**26.0**","**26.1**","**25.4**"
