"Month","Average","2025","2024","2023","2022","2021"
"January","9.4","11","9","10","9","8"
"February","10.1","10","11","9","11","9"
"March","10.8","11","12","11","12","8"
"April","12.4","13","13","13","13","11"
"May","13.7","14","14","13","15","13"
"June","15.0","17","15","16","15","14"
"July","14.0","17","15","16","14","12"
"August","13.0","14","14","14","14","11"
"September","12.3","13","13","15","12","11"
"October","9.5","11","10","10","10","8"
"November","9.9","-","12","9","9","8"
"December","10.6","-","13","12","12","8"
"**Average**","**11.8**","**13.2**","**12.5**","**12.3**","**12.0**","**10.0**"
