"Month","Average","2025","2024","2023","2022","2021"
"January","69.4","64","66","67","66","77"
"February","56.6","54","58","45","56","60"
"March","50.9","46","51","52","46","47"
"April","51.5","54","43","56","51","54"
"May","59.5","66","57","57","54","69"
"June","72.1","73","73","60","66","79"
"July","84.4","81","82","83","87","85"
"August","83.5","85","82","75","84","84"
"September","84.7","85","84","84","83","85"
"October","76.3","80","80","65","78","73"
"November","73.5","-","68","74","68","80"
"December","72.7","-","80","71","72","67"
"**Average**","**69.7**","**68.7**","**68.4**","**66.1**","**67.6**","**71.6**"
