"Month","Average","2025","2024","2023","2022","2021"
"January","28.9","29.1","29.1","28.6","27.8","29.3"
"February","31.3","32.8","32.3","31.6","30.1","30.0"
"March","34.4","35.0","35.2","32.5","34.8","35.2"
"April","36.2","35.6","37.5","34.8","36.8","36.3"
"May","35.8","33.3","36.8","34.8","36.0","35.6"
"June","32.6","31.3","32.2","34.8","33.3","31.8"
"July","28.8","28.8","28.6","28.1","27.8","29.6"
"August","29.5","29.8","29.6","30.0","29.0","30.3"
"September","29.2","28.3","29.1","29.1","29.1","29.3"
"October","30.0","29.1","30.6","31.5","28.8","31.1"
"November","28.8","-","29.3","29.1","28.6","28.1"
"December","27.8","-","27.6","27.3","28.5","27.8"
"**Average**","**31.2**","**31.4**","**31.5**","**31.0**","**30.9**","**31.2**"
