Date,Value,Anomaly_Label,Anomaly_Severity,Branch,Aggregation
2019-04-08,447.0,1,0.09574947776720989,MAA,weekly
2019-04-15,2046.0,1,0.012983417211075113,MAA,weekly
2019-04-22,3186.5,1,0.09053805556175307,MAA,weekly
2019-04-29,4442.0,1,0.1759127582792245,MAA,weekly
2019-05-06,4238.0,1,0.16204064409813,MAA,weekly
2019-05-13,2837.0,1,0.06677185994267201,MAA,weekly
2019-05-20,2305.0,1,0.030595562176288255,MAA,weekly
2019-05-27,2413.0,1,0.037939622625103,MAA,weekly
2019-06-03,3108.5,1,0.08523401190427575,MAA,weekly
2019-06-10,970.0,1,0.06018518503822737,MAA,weekly
2019-06-17,1791.0,1,0.004356725515293041,MAA,weekly
2019-06-24,1908.0,1,0.0035993399709229354,MAA,weekly
2019-07-01,1831.0,1,0.0016367031268431345,MAA,weekly
2019-07-08,373.0,1,0.10078151918584222,MAA,weekly
2019-07-15,1417.5,1,0.029754934567444043,MAA,weekly
2019-07-22,885.5,1,0.06593123233382779,MAA,weekly
2019-07-29,1162.5,1,0.047095077293812196,MAA,weekly
2019-08-05,1109.0,1,0.05073310723836394,MAA,weekly
2019-08-12,414.5,1,0.09795949595782544,MAA,weekly
2019-08-19,744.0,1,0.07555331153296933,MAA,weekly
2019-08-26,1118.5,1,0.050087101921107095,MAA,weekly
2019-09-02,1875.0,1,0.0013553215004517625,MAA,weekly
2019-09-09,592.5,1,0.08585539632922336,MAA,weekly
2019-09-16,902.5,1,0.06477522281873659,MAA,weekly
2019-09-23,731.0,1,0.07643731880921556,MAA,weekly
2019-09-30,3760.5,1,0.12957037683600922,MAA,weekly
2019-10-07,45.0,1,0.12308570277113146,MAA,weekly
2019-10-14,683.5,1,0.07966734539549983,MAA,weekly
2019-10-21,741.0,1,0.07575731321210309,MAA,weekly
2019-10-28,720.0,1,0.07718532496603929,MAA,weekly
2019-11-04,2174.5,1,0.02172148913397044,MAA,weekly
2019-11-11,344.5,1,0.10271953513761278,MAA,weekly
2019-11-18,311.0,1,0.10499755388793958,MAA,weekly
2019-11-25,560.0,1,0.0880654145198389,MAA,weekly
2019-12-02,1446.0,1,0.02781691861567348,MAA,weekly
2019-12-09,654.5,1,0.081639361627126,MAA,weekly
2019-12-16,527.0,1,0.09030943299031008,MAA,weekly
2019-12-23,303.5,1,0.10550755808577393,MAA,weekly
2019-12-30,4155.0,1,0.15639659764209643,MAA,weekly
