model,aggregation,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,nrmse_mean,nrmse_std,r2_mean,r2_std
Auto-ARIMA,monthly,8600.515825613664,4120.979040024447,7240.271946673402,3330.4491445415233,53.28916731863345,14.3236741909563,72.27040784680666,17.500895632822207,-3.4498105532810435,2.932181233221657
Auto-ARIMA,weekly,2802.424490422357,1350.9011557114568,1970.6893967134474,847.9148420136872,398.1733070369754,492.12360357614733,98.9091185642562,6.759822883643822,-0.43286805124459404,0.3252642939807582
CatBoost,monthly,9159.864877402671,4667.9503245728665,7921.596478160233,3924.832161318871,59.55059438544073,7.599264805229435,76.83531848717357,13.60309994907785,-3.9203611842790784,2.6174126144204326
CatBoost,weekly,2924.9310017955995,1324.9138472722066,2048.1133004933567,828.9805036016628,310.4215885973952,357.26961229712407,104.55069063324424,2.7832116125914985,-0.6085290682205067,0.37877808271342217
Holt-Winters,monthly,7268.18971789945,2263.303429087151,5899.190115775744,1445.074427481988,49.351100282275084,13.663310047020222,65.14462757493672,13.998016826277855,-2.6568432505611774,1.9661932931210306
Holt-Winters,weekly,2916.9750534287714,1103.44307078321,2085.2910459455993,705.082809896896,317.66279853093977,366.6100859864816,107.60410326832876,8.977382987586278,-0.7280886058318938,0.539012445566402
Isolation Forest,monthly,7714.287587014798,3090.545863706136,6185.102846122023,2450.800304044031,45.34579298440154,14.789369087966096,66.3392202484392,15.912217133579512,-3.003049684372935,3.109026961436649
Isolation Forest,weekly,2778.739183873879,1271.1096835415865,1977.600452716791,829.0294300562365,363.6543858246115,406.25636948900944,99.02926469775203,6.561718595555611,-0.4338584504935378,0.3139054242001338
Kalman Filter,monthly,,,,,,,,,,
Kalman Filter,weekly,,,,,,,,,,
LightGBM,monthly,9013.242278415535,3965.721071801952,7715.142637690178,3169.5562278060925,58.82223709423097,7.000427960173166,76.94223962409873,9.59069203824179,-4.281809765704667,3.386585357625604
LightGBM,weekly,2860.080532703255,1295.9823352656083,2004.1081729873963,806.3785274406664,384.9106887119202,515.6108223393206,102.47590906517931,4.973532365395242,-0.5322089160930148,0.30057045929991943
Neural Prophet,monthly,,,,,,,,,,
Neural Prophet,weekly,,,,,,,,,,
Prophet,monthly,7533.105859156343,3922.5746321406273,6218.006786667875,2815.0701525480526,50.61973933357168,14.09652981327378,67.08545511389508,22.466891611650944,-2.257612156938424,1.369622814038406
Prophet,weekly,2897.2841592083882,1269.0469214895925,2089.401928267879,847.8025711428397,257.99391888050343,206.87310990976812,104.2181627796443,7.944588512680978,-0.6052954780624817,0.4404257874975049
Quantile Regression,monthly,11921.381472016765,4874.705399549699,10911.368794222351,4445.752667397059,92.17562519789817,11.612953215184858,101.48790950734285,9.166736257162276,-9.736250316853466,10.519464444725593
Quantile Regression,weekly,2563.7257988408614,1282.8869437172798,1892.0265180031602,879.6156440079693,793.1019560635586,1134.5254235280659,90.9590467044104,12.072759072164754,-0.1919995713947918,0.2311662418089754
Random Forest,monthly,8627.11864150485,4126.054133753274,7308.097639386197,3236.229889765322,54.993429823631644,6.278229662860088,73.39139732074644,14.363784048281063,-3.3601032302082174,1.9714747796747314
Random Forest,weekly,2952.0840371186773,1389.4286119816584,2049.474980845954,844.1490835880801,363.2875498665918,508.10957499746314,105.29482823294673,6.171554744351531,-0.6135425556234643,0.29213641807400653
SARIMAX,monthly,7371.362870368258,2840.9476046776444,5894.066371642285,2060.497738585124,45.19427868846701,17.19245535322039,64.4601630047772,18.020193757208837,-2.481632884436844,2.022510041887646
SARIMAX,weekly,2803.930340615156,1243.500405767822,1995.2791402205858,809.4480022162516,358.7331636307822,408.976768260761,100.51640250581264,5.0908429258926375,-0.4849448639179812,0.35424613490805773
STL Decomposition,monthly,,,,,,,,,,
STL Decomposition,weekly,,,,,,,,,,
Vector Autoregression,monthly,,,,,,,,,,
Vector Autoregression,weekly,,,,,,,,,,
XGBoost,monthly,9219.50447478271,4280.000273623929,7973.692333984375,3502.573910225513,61.08161286684393,2.89328429612381,78.04356812491051,11.17112637853773,-4.2779824860677,3.2121450159547282
XGBoost,weekly,2920.237004233669,1350.902195263076,2041.966633645082,843.5106206457148,309.74442627897633,358.04146457035387,104.10136312261345,5.6845077336375045,-0.5813864189739698,0.3076409912634569
