Date,Forecast
2025-04-07,569.6049
2025-04-14,537.705
2025-04-21,689.1223
2025-04-28,638.57245
2025-05-05,536.2944
2025-05-12,555.6856
2025-05-19,633.1331
2025-05-26,635.2387
2025-06-02,512.64655
2025-06-09,498.74573
2025-06-16,500.78677
2025-06-23,512.62524
2025-06-30,523.8599
2025-07-07,521.9036
2025-07-14,508.8788
2025-07-21,508.8788
2025-07-28,530.1844
2025-08-04,532.2745
2025-08-11,529.29254
2025-08-18,529.29254
2025-08-25,534.9546
2025-09-01,541.0347
2025-09-08,547.79987
2025-09-15,547.6898
2025-09-22,548.44855
2025-09-29,598.28687
2025-10-06,598.28687
2025-10-13,598.28687
2025-10-20,598.28687
2025-10-27,602.52814
2025-11-03,609.8323
2025-11-10,609.8323
2025-11-17,609.8323
2025-11-24,595.1191
2025-12-01,596.0125
2025-12-08,596.0125
2025-12-15,596.0125
2025-12-22,596.0125
2025-12-29,538.37964
2026-01-05,517.0425
2026-01-12,517.0425
2026-01-19,517.0425
2026-01-26,508.1413
2026-02-02,507.17316
2026-02-09,507.17316
2026-02-16,511.7616
2026-02-23,527.8907
2026-03-02,543.75616
2026-03-09,545.84625
2026-03-16,545.84625
2026-03-23,557.77686
2026-03-30,557.77686
