Date,Forecast
2025-04-07,628.4581
2025-04-14,590.47845
2025-04-21,562.12573
2025-04-28,574.3153
2025-05-05,526.3356
2025-05-12,514.1618
2025-05-19,511.17792
2025-05-26,486.599
2025-06-02,493.07556
2025-06-09,469.49173
2025-06-16,472.0211
2025-06-23,473.8522
2025-06-30,492.5501
2025-07-07,487.73428
2025-07-14,487.89743
2025-07-21,498.51825
2025-07-28,506.85168
2025-08-04,503.60086
2025-08-11,491.2999
2025-08-18,491.7087
2025-08-25,495.56662
2025-09-01,495.9816
2025-09-08,492.01575
2025-09-15,488.57965
2025-09-22,478.7918
2025-09-29,482.45407
2025-10-06,483.07755
2025-10-13,482.879
2025-10-20,475.74008
2025-10-27,475.7296
2025-11-03,470.74814
2025-11-10,468.77756
2025-11-17,473.17175
2025-11-24,474.26907
2025-12-01,521.3897
2025-12-08,522.0142
2025-12-15,529.51154
2025-12-22,529.1052
2025-12-29,490.53275
2026-01-05,462.32248
2026-01-12,449.35153
2026-01-19,449.6512
2026-01-26,460.1466
2026-02-02,451.7909
2026-02-09,452.36777
2026-02-16,455.72708
2026-02-23,518.7077
2026-03-02,493.57193
2026-03-09,493.07965
2026-03-16,493.4582
2026-03-23,508.04254
2026-03-30,503.0772
