Date,Forecast
2025-04-07,2129.337
2025-04-14,2056.44
2025-04-21,2109.1458
2025-04-28,2226.8723
2025-05-05,2103.9453
2025-05-12,1926.759
2025-05-19,1997.9403
2025-05-26,2285.6326
2025-06-02,2093.9917
2025-06-09,1845.405
2025-06-16,1836.2007
2025-06-23,1868.0735
2025-06-30,1804.5944
2025-07-07,1682.3344
2025-07-14,1673.3278
2025-07-21,1673.3278
2025-07-28,1670.6093
2025-08-04,1674.3165
2025-08-11,1692.1344
2025-08-18,1691.3586
2025-08-25,1715.9906
2025-09-01,1715.9906
2025-09-08,1708.7446
2025-09-15,1708.7446
2025-09-22,1708.7446
2025-09-29,1708.7446
2025-10-06,1708.7446
2025-10-13,1708.7446
2025-10-20,1708.7446
2025-10-27,1708.7446
2025-11-03,1708.7446
2025-11-10,1708.7446
2025-11-17,1708.7446
2025-11-24,1708.7446
2025-12-01,1711.5331
2025-12-08,1711.5331
2025-12-15,1723.7616
2025-12-22,1723.7616
2025-12-29,2085.619
2026-01-05,2147.1333
2026-01-12,2028.2902
2026-01-19,2028.2902
2026-01-26,2028.2902
2026-02-02,2028.2902
2026-02-09,1937.4801
2026-02-16,1939.0454
2026-02-23,1926.1385
2026-03-02,1935.1451
2026-03-09,1935.1451
2026-03-16,1935.1451
2026-03-23,1935.1451
2026-03-30,2016.5236
