Date,Forecast
2024-04-08,1694.5387
2024-04-15,1673.7811
2024-04-22,1735.6648
2024-04-29,1584.8801
2024-05-06,1411.1157
2024-05-13,1312.021
2024-05-20,1259.388
2024-05-27,1263.4454
2024-06-03,1146.1785
2024-06-10,1178.2462
2024-06-17,1149.8323
2024-06-24,1143.501
2024-07-01,1058.285
2024-07-08,1133.8435
2024-07-15,1033.5966
2024-07-22,1050.5659
2024-07-29,1049.7145
2024-08-05,1075.3862
2024-08-12,1046.7612
2024-08-19,1096.7295
2024-08-26,1101.1274
2024-09-02,1120.4342
2024-09-09,1132.838
2024-09-16,1141.4579
2024-09-23,1170.4565
2024-09-30,1176.4365
2024-10-07,1173.6708
2024-10-14,1174.0607
2024-10-21,1205.1548
2024-10-28,1205.1548
2024-11-04,1206.1138
2024-11-11,1206.1138
2024-11-18,1203.2405
2024-11-25,1203.2405
2024-12-02,1204.8756
2024-12-09,1204.8756
2024-12-16,1220.9387
2024-12-23,1247.4401
2024-12-30,1310.7964
2025-01-06,1270.9672
2025-01-13,1266.5615
2025-01-20,1217.3767
2025-01-27,1214.2075
2025-02-03,1267.2363
2025-02-10,1236.283
2025-02-17,1212.3505
2025-02-24,1300.2421
2025-03-03,1339.1581
2025-03-10,1468.6459
2025-03-17,1445.0441
2025-03-24,1389.2587
2025-03-31,1470.0453
