Date,Forecast
2025-04-07,1671.4899
2025-04-14,1798.7438
2025-04-21,1930.9425
2025-04-28,1643.3833
2025-05-05,1448.1158
2025-05-12,1559.247
2025-05-19,1698.0577
2025-05-26,1613.5143
2025-06-02,1537.1372
2025-06-09,1531.0513
2025-06-16,1513.4951
2025-06-23,1520.3948
2025-06-30,1514.1051
2025-07-07,1526.2855
2025-07-14,1520.8705
2025-07-21,1519.551
2025-07-28,1520.8705
2025-08-04,1520.8705
2025-08-11,1520.8705
2025-08-18,1520.8705
2025-08-25,1520.8705
2025-09-01,1520.8705
2025-09-08,1520.8705
2025-09-15,1520.8705
2025-09-22,1520.8705
2025-09-29,1520.8705
2025-10-06,1520.8705
2025-10-13,1520.8705
2025-10-20,1520.8705
2025-10-27,1520.8705
2025-11-03,1520.8705
2025-11-10,1520.8705
2025-11-17,1520.8705
2025-11-24,1520.8705
2025-12-01,1521.5975
2025-12-08,1517.8451
2025-12-15,1543.9171
2025-12-22,1556.4893
2025-12-29,1646.3718
2026-01-05,1621.6478
2026-01-12,1616.6428
2026-01-19,1648.3552
2026-01-26,1706.3951
2026-02-02,1714.5696
2026-02-09,1714.5696
2026-02-16,1713.9856
2026-02-23,1718.1562
2026-03-02,1716.8368
2026-03-09,1716.8368
2026-03-16,1723.5713
2026-03-23,1746.9985
2026-03-30,1746.9985
