model,aggregation,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,nrmse_mean,nrmse_std,r2_mean,r2_std
Auto-ARIMA,monthly,6324.11521998535,2740.198096274754,4922.634530541336,1989.5421676730518,82.26797807652575,22.190431004096755,73.01232339552949,6.6003524906360695,-0.4008498280399766,0.5891178412974937
Auto-ARIMA,weekly,2179.628686915587,1243.0722268392662,1627.7800702027191,813.1766515759178,316.89728662789287,217.91049148658485,103.55682228968222,12.351493724809565,-0.12665669503034346,0.1139423572283428
Bayesian Deep Learning,monthly,7457.282645400357,4032.815223834068,5263.733708250832,2537.9878346655446,54.15942532603452,21.746300934516025,81.62273714706383,26.56625923215245,-0.6444379538721378,0.8163907721578195
Bayesian Deep Learning,weekly,2600.2830284397596,1306.6559905094123,1684.1526949835807,702.9411789548865,139.8647062124484,78.96175272261421,127.15814875281508,2.6235105660288704,-0.758556198580977,0.4716326122466739
CatBoost,monthly,5264.682079481192,2808.6358738738477,3404.171511469406,1582.0282723981215,41.617969688807406,16.500755561550818,58.66634068384021,21.883451977272276,0.17322787330148276,0.3794942001848679
CatBoost,weekly,2068.580808346895,965.4303997364663,1530.7503585145266,532.8453472336787,332.52563310971425,248.827905785054,104.82346087050112,21.65340372701303,-0.25929879680750373,0.7559443648181801
Holt-Winters,monthly,,,,,,,,,,
Holt-Winters,weekly,,,,,,,,,,
Isolation Forest,monthly,,,,,,,,,,
Isolation Forest,weekly,,,,,,,,,,
Kalman Filter,monthly,,,,,,,,,,
Kalman Filter,weekly,,,,,,,,,,
LSTM,monthly,7970.745705033626,3058.049510404609,5963.573364476525,1997.8086841069403,70.49825084856427,17.14799999840735,93.97326671172598,11.766010034340924,-1.3671862147251854,1.157171672110603
LSTM,weekly,2514.4053656073493,1372.390756105132,1598.2048114034574,717.4207510959682,108.23581508599133,48.94863970489882,119.43441103166874,18.281246305391488,-0.5211075995070695,0.3948491538652042
LightGBM,monthly,5913.402061199501,3017.67703375604,4602.675353690321,2458.612632406611,72.39750977192311,38.64545853612717,65.8083874879789,14.744793014343765,-0.04369161283526353,0.14528837209803028
LightGBM,weekly,2656.7494973327352,1609.8038714331656,2324.846245391035,1539.5516925993038,392.2392231628767,54.765527897059236,129.45792466704705,26.105944948485785,-0.9518158314909092,1.066699779405544
Neural Prophet,monthly,,,,,,,,,,
Neural Prophet,weekly,,,,,,,,,,
Prophet,monthly,,,,,,,,,,
Prophet,weekly,,,,,,,,,,
Quantile Regression,monthly,6284.325446836117,3038.3067578280793,4727.920903353729,2314.4921175606787,56.13797546967621,29.484297252607035,73.00075966185643,31.125407067052944,-0.3385388495695339,0.8316548800499152
Quantile Regression,weekly,2001.2306335230326,1164.808984554364,1246.6689651593765,563.7307604123685,170.98089210533072,99.26953189343557,93.68009520679766,17.07024804659535,0.08496203292396318,0.16174106937730073
Random Forest,monthly,5050.546990412527,2604.3847481368375,3428.795560692904,1567.2203189490635,44.07876628293529,15.476811993848592,56.404668470635144,18.78651511360068,0.23905636304131148,0.277240269020468
Random Forest,weekly,2307.2386256333907,1115.5685894534693,1904.3304519809378,954.8798291160073,418.0731023412219,309.80385578439814,115.84840232524807,13.928297335753392,-0.5334203842489164,0.7161934337371835
SARIMAX,monthly,,,,,,,,,,
SARIMAX,weekly,,,,,,,,,,
STL Decomposition,monthly,,,,,,,,,,
STL Decomposition,weekly,,,,,,,,,,
Vector Autoregression,monthly,,,,,,,,,,
Vector Autoregression,weekly,,,,,,,,,,
XGBoost,monthly,5123.714846891771,2631.2469037923624,3938.824593098958,2146.0767535008235,66.98139126382098,42.13475516941795,57.17950585909229,11.62227716779301,0.20208387680578613,0.13134107622766045
XGBoost,weekly,2959.592533125445,2314.200797529194,2591.0409005972056,2262.1937247773308,430.0776143628298,120.794786676931,139.77489992174424,46.81608329808148,-1.2601160932418503,1.3609325879611027
