Date,Forecast
2024-04-08,1059.3662
2024-04-15,1918.5156
2024-04-22,2149.1946
2024-04-29,2526.324
2024-05-06,1891.96
2024-05-13,2085.457
2024-05-20,2401.7195
2024-05-27,2510.7927
2024-06-03,2258.3496
2024-06-10,2492.6653
2024-06-17,2413.681
2024-06-24,2414.7664
2024-07-01,2444.6055
2024-07-08,2449.7683
2024-07-15,2451.0627
2024-07-22,2451.0627
2024-07-29,2452.4446
2024-08-05,2457.7834
2024-08-12,2457.7834
2024-08-19,2457.7834
2024-08-26,2457.7834
2024-09-02,2493.3071
2024-09-09,2493.3071
2024-09-16,2493.3071
2024-09-23,2493.3071
2024-09-30,2527.7664
2024-10-07,2527.7664
2024-10-14,2527.0044
2024-10-21,2527.0044
2024-10-28,2527.0044
2024-11-04,2527.0044
2024-11-11,2527.0044
2024-11-18,2527.0044
2024-11-25,2526.9402
2024-12-02,2526.9626
2024-12-09,2518.8425
2024-12-16,2518.8425
2024-12-23,2518.8425
2024-12-30,2568.7068
2025-01-06,2588.4817
2025-01-13,2584.923
2025-01-20,2584.923
2025-01-27,2584.923
2025-02-03,2584.923
2025-02-10,2584.923
2025-02-17,2584.923
2025-02-24,2623.654
2025-03-03,2595.699
2025-03-10,2593.1956
2025-03-17,2593.1956
2025-03-24,2592.4016
2025-03-31,2491.7354
