Date,Forecast
2024-04-08,3472.874
2024-04-15,2428.9731
2024-04-22,3197.7473
2024-04-29,7853.762
2024-05-06,5111.649
2024-05-13,4029.2812
2024-05-20,6236.3438
2024-05-27,6696.191
2024-06-03,7162.3345
2024-06-10,5518.08
2024-06-17,6131.613
2024-06-24,9009.075
2024-07-01,8059.007
2024-07-08,5813.804
2024-07-15,6813.929
2024-07-22,9671.976
2024-07-29,9726.553
2024-08-05,6383.586
2024-08-12,8163.86
2024-08-19,9643.005
2024-08-26,9821.019
2024-09-02,8258.286
2024-09-09,9495.457
2024-09-16,10012.11
2024-09-23,10134.028
2024-09-30,9995.0205
2024-10-07,9517.13
2024-10-14,9700.4375
2024-10-21,9635.002
2024-10-28,9645.747
2024-11-04,9659.936
2024-11-11,9615.058
2024-11-18,9558.114
2024-11-25,9557.691
2024-12-02,9557.691
2024-12-09,9557.691
2024-12-16,9893.068
2024-12-23,10421.537
2024-12-30,10515.192
2025-01-06,10139.116
2025-01-13,10163.456
2025-01-20,10174.201
2025-01-27,10374.125
2025-02-03,10299.252
2025-02-10,10299.252
2025-02-17,10299.252
2025-02-24,10444.508
2025-03-03,10448.095
2025-03-10,10542.694
2025-03-17,10564.688
2025-03-24,10564.688
2025-03-31,10577.485
